00:00:00 - 00:00:02  |    Ja.
00:03:46 - 00:03:49  |    Og hvad er det næste nyheder fra din familie?
00:03:49 - 00:03:54  |    Det næste nyheder fra familien er, at to af dem er dødt.
00:03:54 - 00:03:58  |    8 af dem er under et af de bygninger, og de er dækket.
00:03:58 - 00:04:01  |    Og hvis de kan finde dem, så er det selvfølgelig liv.
00:04:01 - 00:04:03  |    Men det er, at de er blevet som det nu.
00:04:03 - 00:04:05  |    Og de fleste af dem er gået til byen.
00:04:05 - 00:04:11  |    Der er mere forældre. Og faktisk er det næsten alle, der er under et af de bygninger.
00:04:11 - 00:04:16  |    Resten af dem er i byen nu. Resten af dem er forældre, vil jeg sige.
00:04:16 - 00:04:22  |    Men så har jeg talet med den sidste. Det er de kører der nu. De store kører.
00:04:22 - 00:04:26  |    Hvordan føles det at være her i Danmark, og du kan ikke gøre noget?
00:04:26 - 00:04:29  |    Det er virkelig, virkelig dårligt, fordi jeg vil gå der.
00:04:29 - 00:04:37  |    Røn, fly og hvad det er muligt i to sekunder. Men hvis jeg går der nu, hvad kan jeg gøre?
00:04:37 - 00:04:44  |    Der er ingenting jeg kan gøre, fordi de får hjælp. De prøver at sætte de mennesker.
00:04:44 - 00:04:48  |    Bare sidde og se på tv og få gode næse.
00:04:48 - 00:04:53  |    Og hvis de kan tage det ud, så er der en mere kød eller en mere mennesker liv fra byen.
00:04:53 - 00:04:58  |    Det er alt. For eksempel, som dette lige nu. Vi ser, at en er ud.
00:04:58 - 00:05:03  |    Så denne er i livet. Det er en god næse.
00:05:03 - 00:05:06  |    Vi er tænker på en til en, som dette lige nu.
00:05:06 - 00:05:12  |    Og du sagde mig, at det er svært at komme i kontakt. Hvordan er du i kontakt med din familie nu?
00:05:12 - 00:05:18  |    Jeg har været, jeg har været prøvet i morgen 9 kl. eller en lille smule tidligere.
00:05:18 - 00:05:22  |    Men der var en stor kød med der. Mange mennesker kører selvfølgelig der.
00:05:22 - 00:05:29  |    Og der er ingen elektrik. Men hvis jeg er lykkelig, så er der nogle af dem, hvis jeg er lykkelig.
00:05:29 - 00:05:34  |    Hvis de ser, at jeg har været kød, så har de prøvet at købe mig. Hvis de kan, selvfølgelig.
00:05:34 - 00:05:36  |    Det er sådan, at det arbejder lige nu.
00:05:36 - 00:05:40  |    Fordi jeg har været kød, jeg vil sige mere end 2025.
00:05:40 - 00:05:43  |    Jeg har været kød med fem eller seks måneder til nu.
00:05:43 - 00:05:48  |    Men hvis de ser, at jeg har været kød, så vil de købe mig tilbage, hvis de kan.
00:05:48 - 00:05:53  |    Og sige, okay, sådan er det, men jeg er i livet.
00:05:53 - 00:05:57  |    Vi ved ikke. Måske har jeg været kød med nogen, der er allerede kød.
00:05:57 - 00:06:01  |    Denne vi ved ikke. Vi vil finde ud af denne senere.
00:06:01 - 00:06:06  |    Trine, det er din svigerfamilie, som I prøver at få kontakt med lige nu.
00:06:06 - 00:06:10  |    Hvordan har formiddagen været, hvor I har været uvidset omkring, hvordan de har det?
00:06:10 - 00:06:18  |    Den er altid skrækkelig. Vi er jo rystede fuldstændig.
00:06:18 - 00:06:24  |    Det eneste vi kan gøre, det er at bede til, at telefonen gider ringe, så vi kan vide, at de er okay.
00:06:24 - 00:06:31  |    Det eneste, man har lyst til, det er at komme afsted derned og hjælpe med at grave dem ud.
00:06:31 - 00:06:34  |    Men det kan vi jo bare ikke.
00:06:34 - 00:06:36  |    Så hvad gør I lige nu herhjemmefra?
00:06:36 - 00:06:45  |    Jamen, vi sidder jo bare her og forsøger at følge med i, hvad der sker, og forsøger konstant at ringe til dem.
00:06:45 - 00:06:50  |    Ja, vi venter hele tiden på det gode opkald.
00:06:50 - 00:06:57  |    Erkan, din familie, de andre, der er sikre, er i samarbejdet med din far nu.
00:06:57 - 00:06:59  |    Hvordan er de nu? Er de stadig sikre?
00:06:59 - 00:07:08  |    De er stadig sikre, fordi de sidste gang, jeg talte med min store søn, var hun stadig i sikkerhed.
00:07:08 - 00:07:17  |    Hun sagde, at hun ikke kan være normal, fordi hver gang noget sker, så sagde hun, at hun har været her,
00:07:17 - 00:07:23  |    at det vil komme ekstra eller mere hurtigt, og hun sagde, at en af hendes følelse er ude.
00:07:23 - 00:07:25  |    Hun vil ikke gå ind.
00:07:25 - 00:07:33  |    Men det her hus i byen, det er mere sikker, fordi efter 2000, år 2000, hvis du hælder et hus,
00:07:33 - 00:07:38  |    hvis der er nogle regler, det skal være sådan, og det her hus er virkelig, virkelig sikker.
00:07:38 - 00:07:45  |    De fleste af dem, der faldt ned og brugte, det er før 2000, 30 år siden, 40 år siden.
00:07:45 - 00:07:49  |    Så der er brugt nu, men nu er de sikre.
00:07:49 - 00:07:54  |    Jeg er meget, meget glade, fordi alle kusinerne, fordi vi bor i den samme område,
00:07:54 - 00:08:00  |    og alle af dem er tilbage til byen, og det er god nyheder. De er sikre.
00:08:00 - 00:08:01  |    Ja.
00:08:01 - 00:08:25  |    Tak.
00:08:25 - 00:08:38  |    Det er ikke flere legelser lige nu.
