00:00:00 - 00:00:02  |    Fuck.
00:04:47 - 00:04:49  |    specielt meget op i skolen.
00:04:49 - 00:04:51  |    Så det har aldrig været sådan noget,
00:04:51 - 00:04:53  |    at jeg har strippet efter at få en fed karriere.
00:04:53 - 00:04:55  |    Tværtimod så har jeg været sådan en,
00:04:55 - 00:04:57  |    der har grebet nu,
00:04:57 - 00:04:59  |    taget de chancer, som er opstået,
00:04:59 - 00:05:01  |    og når der er noget, som jeg synes er godt
00:05:01 - 00:05:03  |    og noget, som jeg synes, der er interessant,
00:05:03 - 00:05:05  |    så får jeg sådan en helt speciel tunnelsyn,
00:05:05 - 00:05:07  |    og så bliver jeg dygtig til det,
00:05:07 - 00:05:09  |    og jeg kører efter det.
00:05:09 - 00:05:11  |    Men det er ikke fordi, at jeg er sådan en
00:05:11 - 00:05:13  |    speciel tolvtalsbi, som har været
00:05:13 - 00:05:15  |    supergod i skolen.
00:05:15 - 00:05:17  |    Du betalte nærmest, at du var
00:05:17 - 00:05:19  |    bedre eller du var god til
00:05:19 - 00:05:21  |    at lette at have dig igennem gymnasiet nogle gange.
00:05:21 - 00:05:23  |    Det kan jeg godt sige.
00:05:25 - 00:05:27  |    Jeg har heller aldrig været en speciel
00:05:27 - 00:05:29  |    flittig elev, fordi nogle af de ting,
00:05:29 - 00:05:31  |    som keder mig, det kan jeg simpelthen ikke finde ud af
00:05:31 - 00:05:33  |    at lave. Blandt andet åltidskunskab,
00:05:33 - 00:05:35  |    det har jeg virkelig aldrig forstået,
00:05:35 - 00:05:37  |    og jeg tror også, at jeg fik 0-3
00:05:37 - 00:05:39  |    i årskarakter, i årskarakter
00:05:39 - 00:05:41  |    og træssalt i naturfase, selvom jeg var der
00:05:41 - 00:05:43  |    til alle timerne.
00:05:43 - 00:05:45  |    Så jeg har aldrig været sådan en speciel dygtig
00:05:45 - 00:05:47  |    til det. Jeg har sådan et hack med, når jeg
00:05:47 - 00:05:49  |    gik i skole, at så var det de her,
00:05:49 - 00:05:51  |    hvis man nu skulle have læst 30 sider, så sørgede jeg lige
00:05:51 - 00:05:53  |    for at læse siden 15, og når jeg så kom ind
00:05:53 - 00:05:55  |    til timerne, så skyndte jeg mig hånden op
00:05:55 - 00:05:57  |    og stille spørgsmål til det. Så troede
00:05:57 - 00:05:59  |    lærerne, at jeg havde læst, og så blev jeg i hvert fald ikke spurgt
00:05:59 - 00:06:01  |    resten af timen. Så jeg har aldrig været
00:06:01 - 00:06:03  |    sådan en speciel god i skolen,
00:06:03 - 00:06:05  |    men derfor har jeg jo klaret den alligevel.
00:06:05 - 00:06:07  |    Super, super godt. Jeg tror bare, at det er sjovt
00:06:07 - 00:06:09  |    også det der for vores unge øje. Ja, det er så fint.
00:06:09 - 00:06:11  |    Der er nogle ting, man kan
00:06:11 - 00:06:13  |    relatere til os.
00:06:13 - 00:06:15  |    Og så opdager du,
00:06:15 - 00:06:17  |    vi begynder at prøve at fortælle om sådan den der
00:06:17 - 00:06:19  |    ting med, at du arbejder med
00:06:19 - 00:06:21  |    koordinater for sådan et behov,
00:06:21 - 00:06:23  |    og der opdager du
00:06:23 - 00:06:25  |    nogle ting der i det her job,
00:06:25 - 00:06:27  |    du har hørt, og sådan noget.
00:06:27 - 00:06:29  |    Har I sagt noget, Spice? Jeg kan sige det der med,
00:06:29 - 00:06:33  |    ja, det kan jeg.
00:06:33 - 00:06:35  |    Da jeg kommer ud af gymnasiet,
00:06:35 - 00:06:37  |    der begynder jeg at læse til serviceekonom,
00:06:37 - 00:06:39  |    og der får jeg et job som
00:06:39 - 00:06:41  |    eventkoordinator hos et eventbord.
00:06:41 - 00:06:43  |    Og lige pludselig, så fandt jeg ud af,
00:06:43 - 00:06:45  |    at jeg faktisk var god til noget.
00:06:45 - 00:06:47  |    De ting, jeg brændte for,
00:06:47 - 00:06:49  |    det var jeg faktisk rigtig god til.
00:06:49 - 00:06:51  |    Blandt andet, så havde jeg en god koordineringsevne,
00:06:51 - 00:06:53  |    så jeg kunne faktisk sørge for
00:06:53 - 00:06:55  |    at koordinere alle de her piger,
00:06:55 - 00:06:57  |    som eventpiger,
00:06:57 - 00:06:59  |    som skulle ud til forskellige arrangementer.
00:06:59 - 00:07:01  |    Så da jeg kom der
00:07:01 - 00:07:03  |    og læste serviceekonom, så opdagede jeg,
00:07:03 - 00:07:05  |    at jeg var faktisk ret god til noget alligevel.
00:07:05 - 00:07:07  |    Jeg var ikke kunsten en, der fik 0-3 i skolen.
00:07:07 - 00:07:09  |    Super, super godt.
00:07:09 - 00:07:11  |    Du fortalte det ret sjovt det der med,
00:07:11 - 00:07:13  |    at der nærmest ikke findes den crazy day,
00:07:13 - 00:07:15  |    som du ikke har.
00:07:15 - 00:07:17  |    Det der er også bare mere konkret,
00:07:17 - 00:07:19  |    det der med, at det smider bejse ud.
00:07:19 - 00:07:21  |    Ja, ja, det er godt.
00:07:21 - 00:07:23  |    Du må lige sådan brise med det,
00:07:23 - 00:07:25  |    for jeg ved ikke, hvor kort du vil have at gøre det,
00:07:25 - 00:07:27  |    eller er det mere...
00:07:27 - 00:07:29  |    Ja, klart.
00:07:29 - 00:07:31  |    Du kan bare sige det fra gang til gang,
00:07:31 - 00:07:33  |    hvis du gerne vil. Så bare lige sige,
00:07:33 - 00:07:35  |    at det er det, du gerne vil have at sige.
00:07:35 - 00:07:37  |    Jeg prøver bare på at holde det kort.
00:07:37 - 00:07:39  |    Det er super, super godt.
00:07:39 - 00:07:41  |    Jeg synes, det var sjovt med det her med,
00:07:41 - 00:07:43  |    at det var over hele landet.
00:07:43 - 00:07:45  |    Jeg besøgte et masse crazy,
00:07:45 - 00:07:47  |    hvor de holde i,
00:07:47 - 00:07:49  |    og det gik sygt meget i byen.
00:07:49 - 00:07:51  |    Jeg havde det rigtig sjovt med det,
00:07:51 - 00:07:53  |    men jeg tænkte, at det var super godt.
00:07:53 - 00:07:55  |    På et tidspunkt, der flyttede jeg til København,
00:07:55 - 00:07:57  |    og der begyndte jeg at læse til serviceøkonomi,
00:07:57 - 00:08:00  |    og samtidig fik jeg verdens fedeste studiejob,
00:08:00 - 00:08:02  |    hvor jeg var event-pi,
00:08:02 - 00:08:04  |    og jeg tog ud på samtlige crazy-daisier,
00:08:04 - 00:08:06  |    bare de holdigere i hele Danmark.
00:08:06 - 00:08:08  |    Jeg tror ikke, at der er én crazy-daisi,
00:08:08 - 00:08:10  |    jeg ikke har været på.
00:08:10 - 00:08:12  |    Der tog vi ud og delte Smirnoff Ice ud,
00:08:12 - 00:08:15  |    og samtidig med, så fik vi lov til at feste.
00:08:15 - 00:08:17  |    Det var altså en win-win i det her studiejob,
00:08:17 - 00:08:19  |    at jeg både fik lov til at feste,
00:08:19 - 00:08:21  |    og at jeg faktisk også fik fri bar.
00:08:21 - 00:08:23  |    Så det var super sjovt,
00:08:23 - 00:08:25  |    men på et tidspunkt fandt jeg ud af,
00:08:25 - 00:08:27  |    at jeg faktisk var ret god til at koordinere,
00:08:27 - 00:08:30  |    og der får jeg ligesom et fast job med det her event-bureau,
00:08:30 - 00:08:33  |    og får lov til at sidde og koordinere alle pigerne.
00:08:33 - 00:08:35  |    Jeg var selvfølgelig stadigvæk med ude i weekenderne,
00:08:35 - 00:08:37  |    og havde alle mine veninder med,
00:08:37 - 00:08:39  |    men der begyndte jeg at sidde og koordinere,
00:08:39 - 00:08:41  |    og fandt ud af, at jeg faktisk var ret god til
00:08:41 - 00:08:43  |    at holde det store overblik,
00:08:43 - 00:08:45  |    og der begyndte jeg ligesom også at lære noget om,
00:08:45 - 00:08:47  |    hvad det er, der motiverer mig selv,
00:08:47 - 00:08:49  |    og også det her med, at når der er noget,
00:08:49 - 00:08:51  |    der er jeg faktisk ret god til.
00:08:51 - 00:08:53  |    Super, super godt.
00:08:55 - 00:08:57  |    Så snakkede vi om,
00:08:57 - 00:08:59  |    at det kunne være fedt,
00:08:59 - 00:09:02  |    altså fordi vi kan jo ligesom ikke nå hele din karriere,
00:09:02 - 00:09:04  |    det ville blive meget ind i det.
00:09:04 - 00:09:06  |    Så kunne man lave sådan et nedslag,
00:09:06 - 00:09:09  |    altså blandt andet, du fortalte jo også det her med arbejdet,
00:09:09 - 00:09:11  |    som sjovt ved at lide, at kommunen virkelig er sådan noget,
00:09:11 - 00:09:13  |    der definerer dig,
00:09:13 - 00:09:15  |    men sådan noget kunne man lave det sådan,
00:09:15 - 00:09:17  |    og vi snakkede lidt om det,
00:09:17 - 00:09:22  |    i virkeligheden herfra, og så sådan noget før,
00:09:22 - 00:09:24  |    altså hen mod freeway,
00:09:24 - 00:09:26  |    og også hvor det er sådan lidt mere i sådan et punktfor,
00:09:26 - 00:09:28  |    hvor det er sådan noget, jeg var her,
00:09:28 - 00:09:30  |    har lært at være her, eller sådan noget.
00:09:30 - 00:09:32  |    Ja, ja, det forstår jeg godt.
00:09:32 - 00:09:34  |    Jeg synes måske, som jeg sagde til dig sidst et eller andet,
00:09:34 - 00:09:36  |    så lad os så fortælle om det der med kvindelandskampene,
00:09:36 - 00:09:38  |    fordi det var også noget, der handle omkring med det her,
00:09:38 - 00:09:40  |    med diversitet, og hvordan man ser,
00:09:40 - 00:09:42  |    altså det bygger sådan op til freeway.
00:09:42 - 00:09:44  |    Så det kan jeg godt.
00:09:44 - 00:09:46  |    Skal jeg prøve at tage den ind?
00:09:46 - 00:09:52  |    Jeg har ikke set det, at du lærer med sport for kvinder,
00:09:52 - 00:09:54  |    og blandt sport for mænd,
00:09:54 - 00:09:56  |    der er der også nogle forskeller.
00:09:56 - 00:09:58  |    Og de der referencer, jeg tænker, jeg trækker over til,
00:09:58 - 00:10:00  |    eller jeg sætter ud.
00:10:00 - 00:10:02  |    Ja, det kan jeg godt høre om.
00:10:02 - 00:10:04  |    Fint.
00:10:06 - 00:10:08  |    På et tidspunkt, der bliver jeg ansat
00:10:08 - 00:10:10  |    under Viborg Kommune som projektleder,
00:10:10 - 00:10:14  |    og jeg elskede det her job med at lave nye projekter.
00:10:14 - 00:10:16  |    Det er lidt ligesom at lave nye virksomheder,
00:10:16 - 00:10:19  |    som jeg også gør nu, men det var super sjovt.
00:10:19 - 00:10:22  |    Og jeg arbejdede blandt andet med kvindelandsholdet i fodbold.
00:10:22 - 00:10:25  |    Viborg er hjemmebane for kvindelandsholdet,
00:10:25 - 00:10:28  |    og det var en af de ting, som jeg var med til at skabe.
00:10:28 - 00:10:31  |    Men det her med, at kvindelandsholdet kom fra Vejle
00:10:31 - 00:10:33  |    og kun havde 800 tilskuere,
00:10:33 - 00:10:36  |    og der var faktisk ikke rigtig nogen, der tog det seriøst,
00:10:36 - 00:10:39  |    det gjorde jeg virkelig til min vision,
00:10:39 - 00:10:41  |    at det skulle jeg være med til at ændre.
00:10:41 - 00:10:44  |    Det gik sådan, at vi fik fuldestadion i Viborg.
00:10:44 - 00:10:47  |    Vi havde blandt andet også et mål om, at alle skulle vide,
00:10:47 - 00:10:49  |    hvem Nadine Dimm og Pernille Harter var,
00:10:49 - 00:10:51  |    og det tror jeg de fleste, de gør nu.
00:10:51 - 00:10:54  |    Men jeg var vild med at arbejde med det også.
00:10:54 - 00:10:57  |    Det var også noget med at lave projekter,
00:10:57 - 00:10:58  |    det var noget med at lave mål,
00:10:58 - 00:11:00  |    det var noget med at gøre en forskel for de her kvinder.
00:11:00 - 00:11:03  |    Og på det tidspunkt, hvor vi arbejdede med kvindelandsholdet,
00:11:03 - 00:11:05  |    selvfølgelig sammen med DBU også,
00:11:05 - 00:11:07  |    der blev det faktisk den største voksende
00:11:07 - 00:11:09  |    teenage sports for piger.
00:11:09 - 00:11:11  |    Det var en masse unge piger,
00:11:11 - 00:11:13  |    som kom ud og var aktive og kom ud og spille fodbold.
00:11:13 - 00:11:15  |    Det betød super meget for mig.
00:11:15 - 00:11:18  |    Det var også sjovt at arbejde med kvindelandsholdet.
00:11:18 - 00:11:20  |    Jeg kan huske en gang, hvor vi første landskamp vi havde,
00:11:20 - 00:11:22  |    hvor vi skulle fylde stadion,
00:11:22 - 00:11:23  |    og alle havde sagt til mig,
00:11:23 - 00:11:25  |    I får aldrig at fylde stadion.
00:11:25 - 00:11:28  |    Men jeg havde det sådan, at vi fik selvfølgelig ikke
00:11:28 - 00:11:30  |    8.000 fodboldinteresserede mænd til at komme op
00:11:30 - 00:11:32  |    og se kvinderne, for jeg synes faktisk,
00:11:32 - 00:11:35  |    at man skal se det lidt som to forskellige sportsgrene.
00:11:35 - 00:11:38  |    Så vi inviterede en masse kvinder, børn, efterskoler,
00:11:38 - 00:11:40  |    og alle muligt deroppe,
00:11:40 - 00:11:42  |    og så var der ellers bare fest.
00:11:42 - 00:11:45  |    Så lavede vi arrangementer, mens kampen blev spillet,
00:11:45 - 00:11:47  |    og det var virkelig sådan en no-go.
00:11:47 - 00:11:49  |    Det gør man ikke i fodbold.
00:11:49 - 00:11:51  |    Man tager virkelig sin fodbold seriøst,
00:11:51 - 00:11:53  |    så derfor er der boomstillet på stadion,
00:11:53 - 00:11:55  |    mens kampen bliver spillet.
00:11:55 - 00:11:57  |    Men vi fik nogle efterskoler til at lave
00:11:57 - 00:11:59  |    gymnastikopvisninger, og jeg kan huske,
00:11:59 - 00:12:01  |    at der var den første kamp her,
00:12:01 - 00:12:03  |    og der var 8.000, der skulle komme,
00:12:03 - 00:12:05  |    og jeg ville have, at på minut 11,
00:12:05 - 00:12:08  |    der skulle hele stadion stille sig op og synge
00:12:08 - 00:12:10  |    Vi røde, vi hvide.
00:12:10 - 00:12:12  |    Og vi kunne ikke nå at få tryk i de her flag,
00:12:12 - 00:12:14  |    så jeg fik alle, jeg kunne samle ind rundt i kommunen,
00:12:14 - 00:12:16  |    bl.a. den tidligere direktør for håndboldklubben,
00:12:16 - 00:12:18  |    til at sidde og klippe flag en hel dag.
00:12:18 - 00:12:20  |    Så vi skulle altså klippe 8.000 flag,
00:12:20 - 00:12:22  |    hvor der stod en lille sang på, hvor de skulle synge.
00:12:22 - 00:12:24  |    På minut 11 rejser vi os op og synger
00:12:24 - 00:12:26  |    Vi røde, vi hvide.
00:12:26 - 00:12:28  |    Og jeg var ikke særlig populær den dag.
00:12:28 - 00:12:31  |    Men da det så kommer på minut 11 på Viborg stadion,
00:12:31 - 00:12:33  |    jeg får helt kuldegysninger igen,
00:12:33 - 00:12:35  |    hvor hele stadion rejser sig op og synger
00:12:35 - 00:12:37  |    Vi røde, vi hvide.
00:12:37 - 00:12:39  |    Det var kæmpe, kæmpe stort.
00:12:39 - 00:12:41  |    Og jeg kan bare huske, at ham der,
00:12:41 - 00:12:43  |    direktøren, han kiggede på mig, så sagde mig sådan
00:12:43 - 00:12:45  |    Anne, de gjorde det. Ja, de gjorde det.
00:12:45 - 00:12:47  |    Det var super fedt.
00:12:47 - 00:12:49  |    Samtidig så havde vi også smulet et brassband ind på stadion.
00:12:49 - 00:12:51  |    Der var nogle uevrige regler, der gjorde,
00:12:51 - 00:12:53  |    at der måtte bestemt ikke gå bans rundt og spille,
00:12:53 - 00:12:55  |    mens kampen blev spillet.
00:12:55 - 00:12:57  |    Men jeg havde sået for det her brassband,
00:12:57 - 00:12:59  |    der kom ind, og selvfølgelig sammen med mine kollegaer,
00:12:59 - 00:13:01  |    og de gik så ud på lægterne,
00:13:01 - 00:13:03  |    mens kampen spillede,
00:13:03 - 00:13:05  |    og spillede musik.
00:13:05 - 00:13:07  |    Og min mand, han arbejdede også ved DBU på det tidspunkt,
00:13:07 - 00:13:09  |    han ringede, og så sagde han bare,
00:13:09 - 00:13:11  |    Anne, du kommer bare herover nu.
00:13:11 - 00:13:13  |    Alle DBU-folk, de er tosset på dig.
00:13:13 - 00:13:15  |    Hvad laver du med det band?
00:13:15 - 00:13:17  |    Så jeg bare, jeg holder mig derover fra,
00:13:17 - 00:13:19  |    du må bare sige, du beskildes eller et eller andet,
00:13:19 - 00:13:21  |    fordi det er sådan her, det bliver.
00:13:21 - 00:13:23  |    Men dagen efter, så er det faktisk det mest googlede ord,
00:13:23 - 00:13:25  |    den dag i Danmark på Google, det var brassband,
00:13:25 - 00:13:27  |    Biborgstadion, for alle syntes, det var helt vildt sjovt,
00:13:27 - 00:13:29  |    at der faktisk havde været et band der.
00:13:29 - 00:13:31  |    Så jeg lærte super meget af at arbejde med det her med Kvindelandsholdet.
00:13:31 - 00:13:33  |    Det var også der sådan,
00:13:33 - 00:13:35  |    det var i hvert fald noget af det her med det feministiske,
00:13:35 - 00:13:37  |    det begyndte sådan at røre på mig.
00:13:37 - 00:13:39  |    Det her med, hvorfor var det,
00:13:39 - 00:13:41  |    at kvinderne ikke skulle have de samme vilkår som mændene,
00:13:41 - 00:13:43  |    og hvorfor var det,
00:13:43 - 00:13:45  |    at man ikke så dem lige.
00:13:45 - 00:13:47  |    Der er masser af elementer i det,
00:13:47 - 00:13:49  |    hele det kommersielle aspekt forstår jeg godt,
00:13:49 - 00:13:51  |    jeg forstår godt, man ikke kunne give kvinderne,
00:13:51 - 00:13:53  |    de kvindelige spillere lige så meget løn som mændene.
00:13:53 - 00:13:55  |    Men det her med at tage sporten,
00:13:55 - 00:13:57  |    det her med at tage kvindefodbolden seriøst,
00:13:57 - 00:13:59  |    også at se på en masse unge piger,
00:13:59 - 00:14:01  |    som rent faktisk gerne ville spille fodbold,
00:14:01 - 00:14:03  |    og se det, det gjorde for foreningslivet
00:14:03 - 00:14:05  |    og for samfundet, at man fik rigtig mange kvindespillere.
00:14:05 - 00:14:07  |    Så det var på noget af det tidspunkt,
00:14:07 - 00:14:09  |    hvor der begyndte sådan,
00:14:09 - 00:14:11  |    og mit fokus begyndte at være på det her med diversitet.
00:14:11 - 00:14:13  |    Hvorfor skal der egentlig være så stor forskel
00:14:13 - 00:14:15  |    på drenge og piger,
00:14:15 - 00:14:17  |    eller mænd og kvinder,
00:14:17 - 00:14:19  |    ligesom der også er i værksætteriet nu.
00:14:19 - 00:14:21  |    Rigtig, rigtig godt.
00:14:21 - 00:14:23  |    Det ene ved, hvad du har sådan fødlere
00:14:23 - 00:14:25  |    eller optagelser.
00:14:25 - 00:14:27  |    Jeg tror, du kan spørge DR,
00:14:27 - 00:14:29  |    det var jo... Jeg tror, vi siger RAV,
00:14:29 - 00:14:31  |    kigger i arkivet. Det var DR
00:14:31 - 00:14:33  |    og DBU og Viborg Kommune der sammen,
00:14:33 - 00:14:35  |    og det var den første landskamp
00:14:35 - 00:14:37  |    på Viborg Stadion. Jeg kan ikke huske, hvor det var i,
00:14:37 - 00:14:39  |    men det var...
00:14:39 - 00:14:41  |    Så det har de helt klart.
00:14:41 - 00:14:43  |    Og jeg tror også, der er billeder af presbaner.
00:14:47 - 00:14:49  |    Det gik bare...
00:14:51 - 00:14:53  |    Ja, det var faktisk...
00:14:53 - 00:14:55  |    Det kan jeg faktisk også lige fortælle.
00:14:55 - 00:14:57  |    Det var jo sådan efterfølgende,
00:14:57 - 00:14:59  |    at selvom vi fik nogle slag
00:14:59 - 00:15:01  |    for alt det billede, vi havde lavet på stadion,
00:15:01 - 00:15:03  |    så på et tidspunkt,
00:15:03 - 00:15:05  |    så sagde landstræneren,
00:15:05 - 00:15:07  |    når landsholdet spillede på Viborg Stadion,
00:15:07 - 00:15:09  |    så fik de vinger.
00:15:09 - 00:15:11  |    Det var en lang, lang periode,
00:15:11 - 00:15:13  |    hvor de var total ubisareret på Viborg Stadion.
00:15:13 - 00:15:15  |    Og det var altså bl.a.,
00:15:15 - 00:15:17  |    fordi der var så meget fest
00:15:17 - 00:15:19  |    ude på lægterne.
00:15:19 - 00:15:21  |    Så det var ret fedt faktisk.
00:15:21 - 00:15:23  |    Det gik sådan, at da jeg begyndte ved Freeway,
00:15:23 - 00:15:25  |    på et tidspunkt,
00:15:25 - 00:15:27  |    der begyndte jeg hos Freeway,
00:15:27 - 00:15:29  |    og jeg har ikke været der ret mange måneder,
00:15:29 - 00:15:31  |    før at Kvindelandsholdet,
00:15:31 - 00:15:33  |    de er til EM i Holland,
