00:00:00 - 00:00:08  |    Tilsyneligvis er sundhedsvæsenet bløder og kræftigere end først antaget.
00:03:28 - 00:03:32  |    Men fordi jeg er sygemeldt og får syge dagpenge, så kan vi ikke låne pengene til det.
00:03:32 - 00:03:39  |    Laboranten vil derfor hurtigst muligt tilbage på arbejdsmarkedet, men hofteoperationerne har trukket ud.
00:03:39 - 00:03:47  |    Hvis operationen i maj ikke bliver udskudt, har Jeanette Mikkelsen ventet to og et halvt år fra udredning til færdig behandling.
00:03:47 - 00:03:50  |    Det betyder ikke kun noget for mig, men også for min familie.
00:03:50 - 00:03:56  |    Vi bliver lidt forsinket på det vi gerne vil, så det er megafrustrerende at gå og vente.
00:03:56 - 00:04:00  |    Og så er du med os, Anders Heisel, vores sundhedsanlydiker her i DR.
00:04:00 - 00:04:06  |    Det går altså den gale vej både med antallet af patienter, der bliver behandlet, og også ved ventelisternes længde.
00:04:06 - 00:04:11  |    Hvad er konkret de største udfordringer, der skal løses lige nu?
00:04:12 - 00:04:16  |    Måske det største problem er, at tempoet er faldet i det danske sundhedsvæsen.
00:04:16 - 00:04:20  |    Der blev simpelthen opereret færre og behandlet færre end tidligere.
00:04:20 - 00:04:28  |    Og det har jo som konsekvens at kvinden, som vi hører her i indslaget, og 85.000 andre danskere, de lige nu venter på en operation.
00:04:28 - 00:04:31  |    Og de venter også længere, hvis man f.eks. skal have en ny hofte.
00:04:31 - 00:04:35  |    Og så venter man 30 uger gennemstid i forhold til 15 uger for tre år siden.
00:04:35 - 00:04:39  |    Og det er jo på trods af, at der er kommet flere ansatte til i løbet af de seneste år.
00:04:39 - 00:04:44  |    Der er flere lægeransat, der er flere socioassistenter, men ikke flere sygeplejskere.
00:04:44 - 00:04:51  |    Og især ikke flere, og ikke nok af de her operationssygeplejskere, som er så vigtige for, at en operation kan gennemføres.
00:04:51 - 00:04:59  |    Og hvorfor er den del af ligningen ikke blevet løst, og så gav sågar blevet værre det seneste år sted?
00:04:59 - 00:05:08  |    Regionen siger, at corona stadigvæk trækker spor. Sygeplejsstrækken i august 2021 trækker stadigvæk spor.
00:05:08 - 00:05:13  |    Det er stadigvæk svært for regionerne at få tempoet op i sundhedsvæsenet.
00:05:13 - 00:05:18  |    Og hvad angår de her operationssygeplejskere? Så findes de faktisk, de her nøgle medarbejdere.
00:05:18 - 00:05:24  |    De findes faktisk, men de fravælger i stor stil de her hårdt belastede vakte på sygehusene.
00:05:24 - 00:05:29  |    De vil hellere arbejde i kommunerne, de vil hellere arbejde på privathospitalerne, hvor lønnen er bedre.
00:05:29 - 00:05:32  |    Hvor arbejdsforholdene, måske også arbejdstiden, er bedre.
00:05:32 - 00:05:35  |    Det ved regeringen godt, og det ved regionerne godt.
00:05:35 - 00:05:43  |    Og derfor er der også stor fokus på lige præcis den her nøgle medarbejdegruppe, som faktisk ikke er ret stor, men som er ret betydningsfuld.
00:05:43 - 00:05:54  |    Og det forventer vi mere om, når den her akutplan forventes at komme inden for de næste to uger.
