00:00:00 - 00:00:03  |    Blandt andet ryger vi jo til Helsingør.
00:05:19 - 00:05:28  |    Lige en sidste ting, der tænkte jeg bare, altså kæmpe kontrast, at have stået og spillet på orange scene, for helt mange mennesker til at stå i Helsingør og spille for nul.
00:05:28 - 00:05:30  |    Det må man sige.
00:05:30 - 00:05:36  |    Hvordan det der kæmpe store udsving i din karriere på den måde?
00:05:36 - 00:05:52  |    Jamen altså, det er en kæmpe kontrast at gå fra et fyldt orange til nul mennesker på et diskotek i Helsingør.
00:05:52 - 00:06:14  |    Jeg er glad for, at det er selvvalgt for mit vedkommende. Det er sådan set mig selv, der har valgt, at det skulle være sådan, at der er jo andre, som ikke har valgt det, og for hvem turen alligevel er godt indvejt.
00:06:14 - 00:06:24  |    Nu har vi ikke så langt i den, men jeg vil gerne snakke lidt X-factor, for vi ved selvfølgelig ikke, om I får at se det, men jeg vil gerne lige dække det ind alligevel.
00:06:24 - 00:06:46  |    Du har jo lidt svaret på det her i X-factor, men hvorfor føler du, at du får at være med i X-factor nu?
00:06:46 - 00:07:08  |    Altså, jeg tror egentlig grundlæggende bare, at jeg har haft en fornemmelse af, at nu havde jeg nok i rygsækken til at sige ja til X-factor, til det vanvittige cirkus der,
00:07:08 - 00:07:22  |    til at have en eller anden form for ro inde i det, og til at bruge nogle af de ting, jeg har i rygsækken på nogle andre. Det er meget naturligt, synes jeg, at der skal en eller anden form for ansivitet til.
00:07:22 - 00:07:27  |    Sådan opfatter jeg det i hvert fald, til at sidde der.
00:07:27 - 00:07:44  |    Hvad tænkte du, at du kunne tilføje noget til det her meget fastømmeret format? Altså, havde du lidt noget af det der, Simon, der tænker på tv-visen, at være helt glad for på dig?
00:07:44 - 00:08:00  |    Jeg tror faktisk, at jeg har haft den samme fornemmelse af, som jeg helt forfejlet havde omkring Panic Day, at tv-visen, de kan da virkelig bare se en gave i at få mig ombord.
00:08:00 - 00:08:15  |    Den tror jeg egentlig også havde omkring X-Factor, bortset fra, at nu havde jeg sådan noget at have den i. Fordi jeg ved, hvad det er, jeg har at komme med,
00:08:15 - 00:08:33  |    og der er lige de gode 20 år imellem. Den ene selvopfalds, og den næste. Og det er jo de 20 år, det hele handler om, det hele bygger på. Det, som er opbygget der, det kan sådan set godt have en værdi ind i X-Factor.
00:08:33 - 00:08:47  |    Jeg har selv følt en eller anden form for naturlighed omkring, at meget af det, jeg prøver at gøre med Hugo og mig, det tækker på, selv det at optræde.
00:08:47 - 00:09:08  |    Og det tæk på, selv det at kombinere noget, der prøver at gøre noget original eller eksperimenterende, men samtidig gerne vil ramme bredt. Det er lige præcis spændende at gøre i et rum som X-Factor.
00:09:08 - 00:09:20  |    Fordi det per definition er bredt. Det er det bredeste underhåndsprogram, der er. Det er det med flest serier, og det er det med flest serier af forskellig alder.
00:09:20 - 00:09:35  |    Så der er man jo i et enormt spotlys, som mange ser på, og forholder sig meget aktivt til.
00:09:35 - 00:09:44  |    Det synes jeg er skidespændende at sige. Hvad kan man så, hvor langt kan man få dem med ud i hjørnerne?
00:09:44 - 00:10:08  |    Og har det været en fed udfordring? Når man ser på de ting, du har lavet, har der været meget originalitet i det. Både i Nephiomenten den måde at bruge sproget på, og også i Angora og Gura, som jo er trakikomisk på en eller anden måde, men også rigtig sjovt. Hvordan er det så at arbejde kun med coppermusik?
00:10:08 - 00:10:11  |    Om det har været en fed udfordring synes du?
00:10:11 - 00:10:23  |    Jeg synes det har været en skide sjov udfordring, og jeg vil faktisk også gå så vidst som til at sige, at det har været inspirerende.
00:10:23 - 00:10:49  |    Fordi det man kan med coversang er det jo, og i mit tilfælde har jeg valgt at gøre det kun med danske sange, danske sprøde sange. Det er jo at sige, hvad er der for nogle juveler af den her skattekiste?
00:10:49 - 00:10:54  |    Er der nogen, som man kunne prøve at puse op på en anden måde?
00:10:54 - 00:11:04  |    Vi kender den alle sammen, den her sang. Rigtige venner. Hvertfald hvis man har en vis alder.
00:11:04 - 00:11:27  |    Men hvad hvis man pussede den fri fra den fornemmelse af lidt støvet 413 dansktoplyd og gav den en helt anden lyd, eksempelvis inspireret af, ja det kunne egentlig både være lykkelig eller ligefrem noget tubi og tre emper.
00:11:27 - 00:11:48  |    Hvad sker der så? Kan man lykkes musikalt med det i sig selv og går folk med på det? Det synes jeg meget ligner de undersøgelser jeg prøver at sætte op i de ting jeg selv laver.
00:11:48 - 00:12:03  |    Så for mig har der været en stor samklang med miljøet i virket faktisk. Har det været en spæderop effekt til også at lave Pianomann eller var det noget I begyndte på før?
00:12:03 - 00:12:32  |    Det der med at lave Pianomann har altid været i Hookerums set i noget tid, men man kan sige at måden at gå endnu mere ekstremt til det, og i Hookerums udgave på Pianomann Interview med sådan en underlig form for manisk techno-bands, det er da klart noget der er blevet pustet til af X-Factor og den måde at tænke på.
00:12:32 - 00:12:42  |    Føler du at dine forventninger er blevet myde i forhold til X-Factor, eller er du overrasket over den kreativitet du har kunne udfolde i programmet?
00:12:42 - 00:13:06  |    Jeg er blevet overrasket over hvor kreativt inspirerende det har været, fordi jeg havde en forventning om at det ville være sjovt at lege med det.
00:13:06 - 00:13:22  |    Jeg havde ikke en forventning om det ville være så inspirerende, men det synes jeg det har været også fordi jeg har trukket nogle af de folk, som jeg ellers arbejder med bl.a. Morten Gaum fra Hookerum, med over på holdet og leget med ham omkring de her ting,
00:13:22 - 00:13:39  |    hvilket giver en sjov synergi i forhold til hvordan vi taler om ting. At nu går vi så og taler om, kunne man gøre noget af det i Hookerum, som vi gjorde med den og den tv, der var optrædet, eller hvad det nu var.
00:13:39 - 00:13:42  |    Skal du lave X-Factor igen?
00:13:42 - 00:13:47  |    Det vides ikke om jeg skal lave X-Factor igen.
00:13:47 - 00:13:52  |    Så på det her tidspunkt, så ved resten af verden, at Danmark godt vil lave X-Factor igen?
00:13:52 - 00:13:57  |    Det blev først vist i august.
00:13:57 - 00:14:00  |    Så er det ude.
00:14:00 - 00:14:04  |    Hvorfor vil du gerne lave X-Factor igen?
00:14:04 - 00:14:22  |    Jeg vil gerne lave X-Factor igen, fordi nu gjorde jeg det så godt i første sæson, at det næsten ville være dumt ikke at tage den ekstremt lønne forhold til, der ville være i det.
00:14:22 - 00:14:27  |    Er det meget fedt også at gå ind og være med første gang, og så bare vinde det hele?
00:14:27 - 00:14:38  |    Jeg synes det er sjovt at gå ind og vinde det hele. Det har ikke været et mål i sig selv for mig, hvad der ville ske med konkurrencen.
00:14:38 - 00:15:00  |    På den måde forstår jeg, at jeg er ligeglad med, hvordan det ville gå, men jeg ville være mere. Det vigtige for mig har været at få realiseret nogle af de ambitioner og drømme omkring, hvad kan man derinde i det rum, mere end om det så gav en eller anden medalje.
00:15:00 - 00:15:08  |    Men at der så sker begge dele, det er da pisse skægt.
00:15:08 - 00:15:33  |    Og da vi var på din produktion, så snakkede du om den her rekvisivt lejekasse i hadet, som du også har blevet i X-Factor. Og der tænkte jeg bare i forhold til, om du føler, at den her lejekasse måske er kommet med rundt i flere af dine ting, så du er begyndt mere at blande det her sjovre og seriøse, imodstændig til måske, da du stod lidt mere af en bord, der var sjov dernede, fylder det måske ikke være lige så sjovt.
00:15:33 - 00:15:59  |    Ja, helt klart. Jeg har klart en fornemmelse af, at de to sider, og den der todelhed eller dualisme, som jeg altid selv har følt mig som et udtryk for, borde fremad af.
00:15:59 - 00:16:16  |    Den er der stadig. Det todelte er der stadig, men det hænger meget bedre sammen. På den måde handler det om forbindelse. Det er ikke i konkurrence med hinanden, som jeg måske nogen gange kunne føle, det var i starten af mit virke.
00:16:16 - 00:16:31  |    Det smelter meget sammen. I Guro er der masser af musik, hvis man kan sige det i ekvivalenten til Angora, så er der masser af musik, og Hookerum laver musik til.
00:16:31 - 00:16:48  |    Og i Hookerum er der masser af humor, og masser af leg med komik og dramatik. Legkassen er med i Hookerum. Og det hele er med i X-Factor.
00:16:48 - 00:17:02  |    Det bliver ligesom brugt på en måde, der er lidt mere smeltet sammen i dag, end det var for meget engang. Og det føles virkelig rart.
00:17:02 - 00:17:13  |    Helt enormt rart. Det er nærmest noget, jeg vil betegne som noget, der kan gøre mig lykkelig.
00:17:13 - 00:17:25  |    Der er lidt. Og hvad skal der ske i fremtiden? Nu ved jeg ikke, hvordan det er, du har det her Frank-Barn-show med Hookerum.
00:17:25 - 00:17:33  |    Hvor det også spiller på, at I også laver et lyd af manus, og det er også meget kompromissagtigt.
00:17:33 - 00:17:52  |    Ja, vi skal lave to håndfulde shows med Hookerum featuring Frank-Barn til november.
00:17:52 - 00:18:07  |    Vi skal lave to håndfulde shows med Hookerum featuring Frank-Barn, og det bliver jo noget med at selvfølgelig forberede en ramme.
00:18:07 - 00:18:18  |    Det er Frank også typen, der gør. Får en fornemmelse af, hvad er rammen om det her? Hvordan starter vi? Hvordan slutter vi?
00:18:18 - 00:18:27  |    Hvad kan man sige? Hvordan ser værktøjskassen ud? Hvad kan vi tage op af den? Både bogstaveligt og overført.
00:18:27 - 00:18:39  |    Men så handler det også rigtig meget om at virkelig slippe det fri inden i de rammer. Og ikke være bange for at komme på dybt vand.
00:18:39 - 00:18:53  |    Det kunne være sjovt at komme hen sammen. Vi skal nok redde hinanden, hvis den ene er ved at drukke. Det er jeg ret sikker på.
00:18:53 - 00:19:09  |    Men det glæder man skide meget til, fordi det er lavet på den bedst mulige base. Nemlig Hookerum og Frank, jeg og Frank, har lyst til en undskyldning for at hænge noget mere ud sammen.
00:19:09 - 00:19:24  |    Og det får man Danmark rundt. Så får man den undskyldning, at man skal lave det, og det er jo ens arbejde. Og vi kommer der rundt i Danmark og oplever det lidt sammen.
00:19:24 - 00:19:33  |    Det er den bedst mulige grundbase for, at det bliver værd at se på os.
00:19:33 - 00:19:36  |    Og så er det jo nærmest også udsættet, så det virker, at det er sådan, at man faktisk siger det.
00:19:36 - 00:20:00  |    Jeg har alle mulige ting på Hookerum-hylden, som vi gerne vil prøve af og sende afsted, men som der skal gå langt mere tid, før vi er klar til.
00:20:00 - 00:20:14  |    Men jeg kan godt lide det der med at have sådan en idé om, at på et tidspunkt skal vi altså det der. Det er vi simpelthen nødt til at prøve på et tidspunkt.
00:20:14 - 00:20:25  |    Det kan være, at vi lander hårdt med det, men vi har spillet for null. Hvad kan der ske?
00:20:25 - 00:20:38  |    Og her til sidst, i den sidste ting, vi optog på Yelling, der sagde du det her med, at du skulle hjem og skrive på noget musik, fordi du var blevet inspireret under jeres tur.
00:20:38 - 00:21:02  |    Så jeg vil bare høre til sidst, om du ikke er bange for at gå i gang med det her med Frank Barn og Hookerum og sådan noget, men er du heller ikke bange for stadigvæk at afslutte Hookerum eller X Factor eller noget andet, hvis du føler, at det bliver autopilot, og du ikke er inspireret længere?
00:21:02 - 00:21:17  |    Jeg vil ikke mene, at jeg er bange for at gå væk fra X Factor eller Hookerum eller Guru eller hvad det måtte være, der er i gang i dag, hvis ikke inspirationen er der.
00:21:17 - 00:21:41  |    Så vil jeg mene, at det også vil være en nødvendighed, som jeg ikke rigtig kan komme uden om. Så er det ligesom vej i hjem og frem, men der er ikke noget af det, hvor jeg til nærmest vis føler den mangel på inspiration.
