00:00:00 - 00:00:02  |    Shit, vi har forholdt os til det lige siden, every fucking time.
00:03:10 - 00:03:16  |    Er det noget, du kan mærke nu, at du har stået videre? For eksempel nu spiller du også med samme reaktion i linkeralderne igennem de her sæsoner.
00:03:16 - 00:03:25  |    Har du mærket, at de der med at spille over for store skuespiller, eller sådan uddannede skuespiller, har hørt noget for, hvordan de synes, de måtte spille i dag?
00:03:25 - 00:03:30  |    Jeg har lært rigtig mange ting af at spille sammen med uddannede skuespiller.
00:03:30 - 00:03:39  |    Jeg har lært det der med at finde motivationen bag den karakter, du skal spille.
00:03:39 - 00:03:49  |    Jeg har lært sindssygt meget af det der med at lave et mentalt blueprint bag hovedet om den karakter, du nu engang skal spille.
00:03:49 - 00:03:58  |    Hvor kommer han hun fra? Den, som ligesom hjælper dig med til, når du skal spille rollen og agere.
00:03:58 - 00:04:08  |    Hvorfor gør personen, som personen nu engang gør, hvorfor bliver han hun den vred? Hvorfor bliver han hun den glad?
00:04:08 - 00:04:15  |    Og det der med at have den der en eller anden form for rygsæk fuld af historie.
00:04:15 - 00:04:24  |    Jeg siger rygsæk, så den er usyn. Men det at vide, hvad personen kommer fra, hjælper dig til at forme karakter, når du står i en situation, synes jeg.
00:04:24 - 00:04:29  |    Så det lærer jeg sindssygt meget af.
00:04:29 - 00:04:40  |    Tror du også, at budgeten af blåmænd har været med til at åbne for dørene, så de for eksempel kunne lave alle for en budget?
00:04:40 - 00:04:55  |    Jeg er jo ikke DFI, så det kan jeg jo ikke svare på, men jeg er ret sikker på, at det, at vi lavede blåmænd, som fungerede på markedsvillighed, gjorde, at vi fik støtten til at lave alle for en.
00:04:55 - 00:05:10  |    Nu vil jeg gerne snakke om det her med, at det går rigtig godt for dig, men du laver måske også for mange ting.
00:05:10 - 00:05:27  |    Du har snakket om Søren, hvor du kommer ned med stress og bliver indlagt, og det er nemlig også en af de anekdoter, vi gerne vil lave, hvor vi laver karakterslag. Så vi skulle prøve at sætte scenen for, hvordan det går derinde i 2014, og hvordan din karriere kører.
00:05:27 - 00:05:39  |    Ja, som du sagde, jeg er ikke særlig ordstændig saktig, men det er der, hvor jeg bliver indlagt. Ja, okay, godt fint.
00:05:39 - 00:05:46  |    Nå, det er jeg helt med på, det er jeg helt med på.
00:05:46 - 00:05:55  |    Så i bund og grund, alt det alt, så kører det bare pis godt. Jeg har lige fået Greenlightet, en tv-serie til TV2. Det hedder Tomgang.
00:05:55 - 00:06:14  |    Det er en serie, som jeg selv skal instruere. Jeg har selv skrevet den, og jeg skal også selv spille hovedrollen. Og udover det, så er jeg også lige blevet nybagt far. Vi er gået i gang med at bygge et nyt hus.
00:06:14 - 00:06:29  |    Der er rigtig meget gang i alting, og vi starter optagelserne til tv-serien i mit eget produktionserskab, det er klart.
00:06:29 - 00:06:44  |    Og så går der 14 dage, 3 uger, hvor jeg ligesom lukker ned med at mærke efter noget som helst, fordi jeg skal bare have succes med det her.
00:06:44 - 00:07:01  |    Jeg skal lave den her tv-serie, som tager mig et nyt sted hen som skuespiller, fordi det er en rolle, som har en ret stor udviklingsmæssig bu, og den er også en lille smule mere alvorlig end de andre roller, jeg har spillet.
00:07:01 - 00:07:16  |    Og jeg vil også gerne gøre det så godt som instruktør, og jeg mander over, hvad for en farvepalette skal der være, hvordan filmer vi det, er det lidt opfra og nedfra, tæt samarbejde med fotograf og indspillingsleder.
00:07:16 - 00:07:31  |    Og det er det, der er, når du er instruktør, så har du bare elka skættere på alle spørgsmål ender på dit bord, og det vil jeg bare gerne gøre så godt som jeg overhovedet kunne.
00:07:31 - 00:07:50  |    At jeg der på optagelserne begynder at blive forvidet over, hvornår vi er i optagelse, og hvornår vi ikke er i optagelse. Jeg har to virkeligheder, hvor det begynder at flikke lidt frem og tilbage mellem virkelighed og fiktion.
00:07:50 - 00:08:06  |    Og jeg siger ikke rigtigt noget, jeg kommer bare hjem og prøver at lade det som om, at det ikke er noget problem. Nu skal jeg nok bare lige sove, så det er lidt svært at sove.
00:08:06 - 00:08:17  |    Men så må man bare ligge ned og vente på, at du ringer, så står man op.
00:08:17 - 00:08:32  |    Så skal jeg så en weekend efter optagelserne aflovere min gamle bil til min far i fadret Adja. Og min gode ven Mikael kører med mig derover, så jeg har et ride hjem.
00:08:32 - 00:08:49  |    Og så sidder jeg der i bilen sammen med min far, og så skal jeg fortælle ham lidt om, hvordan radioen fungerer med manual og sådan noget. Så jeg sidder der, så er det som om, at jeg aldrig har siddet i den bil før.
00:08:49 - 00:08:59  |    Jeg kan slet ikke finde ud af den bil her, jeg ved aner ikke, hvad der er for en bil. Og min far siger, at jeg skal nok finde ud af det og sådan noget.
00:08:59 - 00:09:14  |    Og så sætter jeg mig ind i bilen med Mikael, og så begynder jeg med at køre hjem ad over for fadret Adja. Og der tror jeg alligevel, den sidste uges tid, har jeg tænkt, at der var noget galt.
00:09:14 - 00:09:29  |    Og det der med, at jeg sidder i min egen bil, jeg har haft i fire år, og ikke overhovedet føler, at jeg sidder i den bil, før jeg overhovedet ikke kan genkende den. Jeg tror, det var droben, der gjorde, at badet fløde over.
00:09:29 - 00:09:43  |    I hvert fald i forhold til en selvarkendelse af, at det er dig noget, det er ikke godt. Og så bade jeg ham om at køre mig på psyiologisk afdeling. Og ja, det gjorde han sig.
00:09:43 - 00:09:46  |    Og det var så nok også det, der skulle ske, kan man sige.
00:09:46 - 00:10:03  |    Og hvorfor er det, jeg tænker, at der er den der periode, hvor man synes, at det bliver rigtig mange ting, og du ikke kan overkæmpe på fictioner, hvorfor spørger du ikke om hjælp?
00:10:03 - 00:10:17  |    Jeg spørger ikke om hjælp, tror jeg, i den periode, fordi det var ligesom mit store svednestykke, tror jeg. Og det ville bare være et kæmpe nederlag, tror jeg, at bejde om hjælp.
00:10:17 - 00:10:32  |    Og et eller andet sted ind direkte sige, at det kunne jeg ikke klare. Så derfor sørger jeg ikke om hjælp, og vælger bare at gemme det hele væk inde bagved.
00:10:32 - 00:10:49  |    Jeg var godt vist, at der var noget galt. Så det var angsten for, eller ikke angsten, for det var ikke nogen angsten, men det var bare mangeløst til at fremstå som en fiasco.
00:10:49 - 00:10:54  |    Hvilket det jo et eller andet sted var, kan man sige. Især overfor min familie måske især.
00:10:54 - 00:11:01  |    Og var det over for dig selv, at du gerne ville bevise noget, eller var det over for andre?
00:11:01 - 00:11:11  |    Ja. Og grund til, jeg ender der, det er vel også fordi, jeg har travlt med at bevise noget både over for mig selv, men også noget over for andre.
00:11:11 - 00:11:24  |    Jeg ville selvfølgelig gerne bevise, at jeg kunne instruere, og at det samtidigt skulle have en eller anden form for kvalitet, så man kunne lukke munden på de der skide anmeldere.
00:11:24 - 00:11:29  |    Så ja. Så det var både for at bevise det over for mig selv, men også over for andre.
00:11:29 - 00:11:34  |    Og kan du måske prøve at forklare det godt nok lige før, men prøv at forklare det igen med, at det var svært.
00:11:34 - 00:11:40  |    Hvad kan den forskel på det, du lige kunne selv skrive, og det liv, du levede? Hvordan forstår det helt, eller ser det?
00:11:40 - 00:11:54  |    Ja. Det, der sker, det er min hjerte, den giver simpelthen op. Den begynder at lukke ned stille og roligt.
00:11:54 - 00:12:03  |    Jeg har jo mit eget liv som af virkelighed, hvor jeg har en masse arbejdsopgaver som instruktør, men jeg er også nybakt far.
00:12:03 - 00:12:13  |    Jeg har også et husbyggeri, som der er gået galt. På mange måder er der en masse ting at forholde sig til, som et eller andet sted jo vel er problematiske.
00:12:13 - 00:12:24  |    Hvorimod at den historie, jeg har skrevet, det vi er ved at indspille fiktionen, det handler om en fyr, der bliver forelsket.
00:12:24 - 00:12:32  |    Og det er jo langt hen ad vejen en meget rar følelse at have. Og fordi jeg havde presset mig selv så hårdt igennem længere tid,
00:12:32 - 00:12:40  |    så valgte hjernen simpelthen at lukke ned for det, der var ubehageligt, og så kunne det over, hvor det var rart.
00:12:40 - 00:12:48  |    Men en del af hjernen var godt klar over, at det her passer ikke, så den trak mig tilbage til alle problemerne.
00:12:48 - 00:12:59  |    Men hjernen ville alligevel gerne tilbage til det, hvor det var rart, så jeg begyndte at flikke mellem problemerne, der kan jeg ikke lide at være.
00:12:59 - 00:13:04  |    Jeg skal herover, hvor det er rart, og så siger jeg, nej, du skal tilbage til virkeligheden, hvor det er, du hører hjemme.
00:13:04 - 00:13:16  |    Nej, jeg vil hellere det over, nej. Og så begyndte det bare at køre stærkere og stærkere og stærkere. Og så på et tidspunkt, så kunne jeg bare ikke mere.
00:13:16 - 00:13:25  |    Hvordan er det at komme tilbage på nu, at du har været så presset, at du har spændt værken på at købe hjemmehed?
00:13:25 - 00:13:33  |    Det er ikke så rart at tænke tilbage på. Eller det er ikke rart at tænke tilbage på.
00:13:33 - 00:13:41  |    Men jeg synes simpelthen, at det er min forpulvede forpligtelse at bruge det konstruktivt og positivt.
00:13:41 - 00:13:47  |    Så jeg tror også, at det er derfor, jeg har lavet stand-up om det.
00:13:47 - 00:13:58  |    For det første var det vigtigt for mig at bearbejde det, men også lige huske på, hvad der skete, fordi jeg fremadrettet kan bruge det til noget.
00:13:58 - 00:14:06  |    Og jeg har været i en situation efterfølgende, hvor jeg skulle skrive på en tv-ser samtidig med at spille i theater om aftenen.
00:14:06 - 00:14:16  |    Nogle af symptomerne er begyndt at komme tilbage, hvor jeg så kunne mærke, at nu er vi ved at være der igen.
00:14:16 - 00:14:25  |    Så skal du stoppe med to ting på én gang. Og så lader jeg manuskriptet frem, og så koncentrerer jeg mig kun om at spille i theater.
00:14:25 - 00:14:34  |    Og hvis jeg ikke havde forholdt mig til det eller bare sagde, at det var dumt videre uden at tænke over det, så ville jeg bare blive med at gentage den samme fejl.
00:14:34 - 00:14:41  |    Så vil du måske bare kort fortælle, hvor lang tid du ligesom var indlagt på det, du har taget med dig, efter det her forny?
00:14:41 - 00:14:48  |    Hvordan har du efterladt en gammel midt et sted, og så arbejdet på en ny måde?
00:14:48 - 00:14:59  |    Jeg kan ikke huske helt præcis, hvor lang tid jeg var indlagt, men det var ikke sådan, at jeg ikke...
00:14:59 - 00:15:09  |    Jeg fik noget sovemedicin for det første, fordi jeg bare skulle sove, men så fik jeg også noget angstæmpende medicin.
00:15:09 - 00:15:17  |    Det var en lille smule blørigt, mens jeg var der. Men jeg var ikke engang indlagt 14 dage.
00:15:17 - 00:15:29  |    Det var ikke særlig lang tid, men jeg nåede i hvert fald at se ret mange sæsoner af Game of Thrones, mens jeg var indlagt.
00:15:29 - 00:15:34  |    Hvad fanden var det, jeg ville sige med det? Jo, nu dør for det, du vil have. Ja, prøv at tage lige igen.
00:15:34 - 00:15:38  |    Det kan også være, at du fortæller, at det ikke er lang tid, at du bliver udskrevet.
00:15:38 - 00:15:58  |    Ja. Efter jeg bliver udskrevet, der tænker jeg lidt, hvad fanden, hvad så nu, Mik, herfra. Hvad kan du, hvad kan du ikke?
00:15:58 - 00:16:09  |    Jeg var nødt til at starte op som en stille, rolig og blødt, og jeg instruerede serien færdig.
00:16:09 - 00:16:15  |    Det er værv, der bliver frataget mig, hvilket nok var meget fornuftigt.
00:16:15 - 00:16:32  |    Jeg har helt sikkert efterladt den gamle Mik på psykiatrisk afdeling på en eller anden måde forstået, at jeg efter, at jeg var indlagt,
00:16:32 - 00:16:40  |    ikke har kunne klare det samme rent arbejdsmæssigt. Jeg har bare ikke den styrke, jeg havde før jeg røg på psykiatrisk.
00:16:40 - 00:16:55  |    Det er jo både på godt og ondt, kan man sige. Måske skulle man heller ikke kunne klare det, som jeg havde kastet mig ud i.
00:16:55 - 00:17:03  |    Det er en lidt sværere Mik, der er kommet ud på den anden side.
00:17:03 - 00:17:11  |    Er der noget, du er blevet bedre til, efter den opløb, at du er blevet bedre til at sige fra, eller at få hjælp, eller til at tale dit arbejde på noget,
00:17:11 - 00:17:17  |    så du ikke bliver spændende, fordi når vi følger dig, laver du også flere ting på én gang?
00:17:17 - 00:17:38  |    Ja, jeg er blevet bedre til at sige fra, og jeg er også blevet bedre til at blive en lille smule mere afgant- og nejhat-agtig,
00:17:38 - 00:17:48  |    hvilket kan være lidt negativt funderet, men det kan også være lidt positivt fremadrettet, forstået på den måde, at man får sagt fra over for nogle ting.
00:17:48 - 00:17:59  |    På eksempel sådan en periode, hvor jeg både skriver på noget nyt og er i gang med lansering af et nyt show, samtidig med, at der så har været nogle udfordringer
00:17:59 - 00:18:08  |    i forbindelse med mængavler, som gør, at det hele falder sammen. Det er sådan en ting, som jeg ikke jagter. Jeg vil helst undgå sådan noget,
00:18:08 - 00:18:18  |    fordi det kunne godt være, at den gamle mig kunne klare det, men det er den nye mig ikke særlig god til at håndtere, fordi det bliver for forvirrende for mig.
00:18:18 - 00:18:30  |    Men nogle gange, så er man jo bare nødt til lige at bide det sure æble og så komme igennem det, men det er ikke noget jegter.
00:18:30 - 00:18:52  |    Så vil du ikke starte med at fortælle, hvorfor det er vigtigt for dig at lave en masse test-shows, inden du kan lankere dit emmer på?
00:18:52 - 00:19:01  |    Det er vigtigt for mig at lave en masse test-shows, fordi det er den måde at finde ud af, om mit materiale fungerer.
00:19:01 - 00:19:11  |    Der er som sagt mange, der tror, at det er at stille sig op på en scene bare og snakke. Det er noget, man gør, hvor man lige trækker det ud af røven.
00:19:11 - 00:19:22  |    Især ikke når man laver et one-man-show, så skal man have tænkt lidt over en form for dramaturgi.
00:19:22 - 00:19:32  |    Men selv hver enkelt bid finder jeg i hvert fald bedst kun ud af, at det virker ved at prøve af at teste og teste og teste.
00:19:32 - 00:19:38  |    Så derfor er test-shows for mig alfa og omega.
00:19:38 - 00:19:46  |    Kan du måske også lige fortælle, at du unklarer med dit one-man-show, og hvornår du gør det?
00:19:46 - 00:20:09  |    Ja, det kommer først lang tid efter. Jeg har holdt pause fra Martin, det er sådan en one-man-show, i fire år, tror jeg.
00:20:09 - 00:20:23  |    Og nu skal jeg så ud med mit nye show, Bad Boy. Og det er både med glæde, men også sindssygt meget febrilo og nervøsitet.
00:20:23 - 00:20:36  |    Fordi det er bare en hårn ud at knikke. Det er bare et langt sejt træk, der skal gøres, før det står til premiæren.
00:20:36 - 00:20:47  |    Der skal sindssygt meget hårdt arbejde til. Der skal sindssygt meget disciplin og tankemyld og både glæde, men også frustration.
00:20:47 - 00:20:54  |    Det er bare en sindssygt lang proces.
00:20:54 - 00:21:07  |    Er du stadig nervøs før? Det er fire år siden, du har lavet et one-man-show, men du har lavet rigtig mange shows før. Er du stadig nervøs før et show?
00:21:07 - 00:21:26  |    Den mig, der optrådte første gang på Dienst, var rigtig nervøs. Og mig, der optråder nu, er også nervøs, men ikke lige så nervøs og har den erfaring, at mig ved godt, at han bliver nervøs, så han kan bruge det positivt.
00:21:26 - 00:21:40  |    Så jeg bliver stadig nervøs, og jeg får stadig den der febrile, og jeg kan også høre det første gang, jeg optræder, at der kommer nogle baneord ind.
00:21:40 - 00:21:49  |    Og det er et fint navn med baneord, men der kommer lidt for mange ind nogle gange. Det tror jeg, det er en form for usikkerhed, hvor man prøver at understate det, man har gang i.
00:21:49 - 00:22:05  |    Når du først er mere hjemme i dit materiale og viler i dig selv, så har du ikke brug for de der baneord. Det er sådan en helt fysisk, konkret ting, at der kommer baneord ud af munden på mig, fordi jeg er usikker.
00:22:05 - 00:22:21  |    Og du fortæller også, at du lærer at tøjle din aktivitet lidt mere, siden du optrådte første gang, så du f.eks. repeterer og repeterer og repeterer, så du får fortællet det, hvordan du tøjler din aktivitet nu, hvor du har lavet en masse one-man shows.
00:22:21 - 00:22:43  |    Jeg tøjler min aktivitet nu på den måde, at jeg er mere... Jeg ved ikke, om det er tøjt, men jeg har bare en erfaring, der gør, at i stedet for, at jeg prøver at overskue et helt show på én gang...
00:22:43 - 00:23:03  |    Det er en kæmpe presbald, hvor jeg nu prøver, når jeg har primære, at dele showet over i nogle skiver. Så spiser vi den skivepølse der, så tager vi den næste pølse og spiser den, og så gælder det bare mig at spise den så godt som overhovedet muligt.
00:23:03 - 00:23:18  |    Så jeg begyndte at kunne prøve et show ned i delelementer, hvorimod, da jeg var ung og skulle lave mit første one-man show, der var der bare en kæmpe stor pølse, som man skulle bryde ned på én gang.
00:23:18 - 00:23:33  |    Det var virkelig dårligt billede. Det er selv meget skønt billede. Skal jeg være med at sige, at der er noget gratis på nogle pølse? Så er det lidt i forhold til minkdavlerne. Må jeg lige tænke på, at bare lige med den der revisering...
00:23:33 - 00:23:50  |    Er det noget, du kan det, så er din nappisitet nok mindre? Eller bare øver, øver, øver, øver?
00:23:50 - 00:24:11  |    En måde at undgå sin egen nappisitet er også, for mit vedkommende i hvert fald, at forberede mig. Forberedelse er bare for mig vejen til, at jeg ikke står ved at skide bukserne på premierdagen.
00:24:11 - 00:24:27  |    Fordi jo flere gange jeg prøver at repete, jo mere sikker jeg bliver i det. Det vil sige, at når jeg står til premieren, så er det jo ikke et spørgsmål om, hvor vidt jeg kan det.
00:24:27 - 00:24:50  |    Det kan godt være, at der er noget, der går galt, noget teknik eller noget, men det er jo ikke mig selv, der kommer til at være den faktor, der udløser, at det bliver noget lort. Jeg ved ikke, om det giver mening, men jeg helgarderer min egen nappisitet med at være forberedt. Det er i hvert fald det, der fungerer rigtig godt for mig.
00:24:50 - 00:25:10  |    Det fortæller du også, at du har fået en rigtig god balance mellem at lave stand-up, hvor når du står for sent, så er der en meget hurtig reaktion på det, du laver, og så på at lave film og TV-serie, hvor det er en lidt længere forhold til, man får en god reaktion.
00:25:10 - 00:25:26  |    Hvad med det her billede?
00:25:26 - 00:25:42  |    Jeg synes, jeg er et sted i mit arbejdsliv lige nu, hvor jeg har en fed vækselvirkning imellem at lave stand-up, som er meget umiddelbart, og lige nu er her, hvor du får publikumsreaktion.
00:25:42 - 00:26:00  |    Lige snart har du sagt det, du siger. Og så det at sidde med eksempelvis en spillefilm eller en tv-serie, som er en sindssygt langsom proces, som også er et kæmpe stort samarbejde.
00:26:00 - 00:26:16  |    Det er jo ikke, når du laver fiktion og tv og film, så er der sindssygt mange mennesker, der løfter i flok. Hvormod når du står på scenen og skal prøve stand-up af, så er der én chefer, det er dig.
00:26:16 - 00:26:34  |    Ligesom dig, der har Alka-skitteren, du skriver, du instruerer og du fremfører. Når man laver stand-up, så er processen fra tanke til handling, altså optræde, den er utrolig kort.
00:26:34 - 00:26:47  |    Hvormod når du laver film og tv, så er det en sindssygt langsom proces, hvor der er rigtig mange kokke inden over, der har rigtig mange meninger.
00:26:47 - 00:27:06  |    Så man kan sige, det at lave fiktion, tv og film, tv-serie, det er kompromiser. Hvormod det at optræde, det er kompromisløst. Du skal ikke gå på kompromis med noget som helst, det er dig, der er chefen, du bestemmer.
00:27:06 - 00:27:13  |    Og begge ting kan noget, og jeg kan godt lide det der med at kunne gå imellem to forskellige værter.
00:27:13 - 00:27:21  |    Hvorfor kan du godt lide at lave mængavlerne?
00:27:21 - 00:27:32  |    Jeg tror, det jeg godt kan lide ved at lave mængavlerne eller generelt karakterarbejde, det er, at det er en lille smule mere nuanceret.
00:27:32 - 00:27:43  |    Hvormod, at den karakter, du spiller, skal være lidt mere tridimensionel. Hvormod, når du står på scenen, den personer, du har, det er lidt mere edimensionel.
00:27:43 - 00:27:59  |    Det er lidt mere en bil-til-bollen-karakter. Hvormod, at en karakter, du spiller i en fiktionsserie, skal have flere facetter.
00:27:59 - 00:28:04  |    Hvem er Renée, som du spiller i mængavlerne?
00:28:04 - 00:28:20  |    Renée, som jeg spiller i mængavlerne, er en gud, som måske et eller andet sted ikke rigtig har fået det, han skulle have haft fra sit barndomshjem.
00:28:20 - 00:28:30  |    Han er lidt flavrende og har ikke rigtig noget tilhørsforhold, så hans familie er egentlig de venner, der omgiver ham.
00:28:30 - 00:28:42  |    Det er meget vigtigt for ham med de venner der, men fordi han har oplevet en eller anden form for et svigt tidligere sit liv, så bliver han også utrolig skuffet, hvis han bliver svigtet igen.
00:28:42 - 00:29:00  |    Det er meget tyst fornærmelt, når det er så negativt. Han er bare vennernes ven, men hvis vennerne fik ham, så bliver han sindssygt skuffet, fordi vennerne er hans familie.
00:29:00 - 00:29:15  |    Når du var ude på set, så snakkede du om, at du måske lidt kaster meget til de samme roller. Er det noget, du føler, at du bliver typecastet?
00:29:15 - 00:29:30  |    Ja, jeg bliver nok typecastet til mange af de samme roller, som den lidt indfoldige dumme dygenigt.
00:29:30 - 00:29:45  |    Det er også derfor, at det var vigtigt for mig at få lov til at spille Mathias i tomgang, fordi han er ikke dum.
00:29:45 - 00:30:04  |    Det var et karrieremæssigt, personligt vigtigt skridt for mig at få lov til at lave noget, der var lidt noget andet. Jeg bliver nok meget typecastet, men det skal man ikke pibe over, fordi jeg har noget at lave.
00:30:04 - 00:30:15  |    Hvis jeg er ved et andet sted hen, så må jeg jo selv lige tage tapen og prøve at lave noget, der går den anden vej. Så jeg har ingen tud i kigget herfor.
00:30:15 - 00:30:42  |    Du kan tænke dig at spille nogle mere til roller? Jeg var til en casting på en meget alvorlig rolle her for X Lancisen og tager i sommerhus i tre dage for at prøve at finde ind til den her karakter, som virkelig er meget speciel.
00:30:42 - 00:30:59  |    Jeg går til casting, og jeg kommer videre til anden casting, og jeg kommer videre til tredje casting, som var den sidste casting, og får ikke rollen.
00:30:59 - 00:31:28  |    Hvis du ikke kan tåle at få et nej til en casting, så skal du da være ved at gå til en casting, og det holder jeg stadig fast i. Det tog mig en uge at komme over det og blive rigtig glad arbejdsmæssigt og sige, nu tager vi fat igen. Det var sgu lidt af en mavepuster.
00:31:28 - 00:31:50  |    Det var selvfølgelig en mavepuster, fordi jeg gerne vil udfordre mig selv hele tiden, og også fordi jeg har en eller anden grek at tro på, at det kan jeg også.
00:31:50 - 00:32:04  |    Jeg tror bare, at jeg blev pisse frustreret over, at jeg ikke fik lov til at bevise det. Det var bare en kæmpe skuffelse.
00:32:04 - 00:32:20  |    Tror du, at det er det løde, man har, hvis man har filmet mange sjove og folke roller, også at komikere er nogle gange svært at få blive taget til i borg til andre roller?
00:32:20 - 00:32:39  |    Det er klart, at når man har bevist, hvad man er god til i en bestemt retning, så er det nok der, folk mest tænker en ind.
00:32:39 - 00:32:50  |    Sådan er det jo i mange aspekter i livet. Jeg gør det også selv, så vi har nok en tendens til at komme hinanden i kasser.
00:32:50 - 00:33:00  |    Jeg tror bare, at nogle gange vil jeg rigtig gerne ud af den kasse. Jeg kan rigtig godt lide at være i den kasse, men nogle gange kunne jeg også godt tænke mig at komme ud af kassen, så jeg kan komme tilbage i kassen.
00:33:00 - 00:33:21  |    Der er lidt spredt på mikronen, og jeg vil bare lige høre det her med, at du vil være med i alle.
00:33:21 - 00:33:42  |    Det er vigtigt for dig at være med i en forskellig del af showet. Hvordan er det, at alle synes, at du er på?
00:33:42 - 00:33:53  |    Jeg er jo nok langt hen ad vejen lidt af en control freak. Det er ikke fordi, at jeg gider være sådan en MC Satan, der barner ned over det hele.
00:33:53 - 00:34:02  |    Men det jeg ikke gider, det er ikke at vide, hvad fanden der sker. Jeg hader ikke at være i kontrol.
00:34:02 - 00:34:12  |    Det giver en anden form for usikkerhed, og når jeg er usikker og så underpræstigeret, så er det vigtigt for mig at klæde mig selv så godt på i forhold til, hvor jeg skal hen.
00:34:12 - 00:34:21  |    Og at jeg ved, hvad for en vej jeg skal derhen. Derfor er jeg tit med i de fleste af processerne.
00:34:21 - 00:34:32  |    Det borde være så selvfølgelig scenografi, og indholdet står ligesom selv for, og det giver sig selv. Men også noget som lancering af et one-man-show,
00:34:32 - 00:34:52  |    der i et eller andet sted er et stort apparat at sætte i gang. Det inkluderer så også somi og virale markedsføring og markedsføring og presseplan og sådan noget. Det er ved gud ikke alting, der interesserer mig lige meget.
00:34:52 - 00:35:02  |    Men i og med, at man er en control freak, så er jeg nødt til at gå med i alle processerne, så jeg ikke mister kontrol.
00:35:02 - 00:35:14  |    Og kan du fortælle, hvorfor du går i gang med marketing og planer for showet, før du også har skrevet?
00:35:14 - 00:35:23  |    Det kan virkelig rimelig vanvittigt at gå i gang med at lave lancering af en turné af et one-man-show, før man overhovedet har skrevet det.
00:35:23 - 00:35:38  |    Men det er bare på godt dansk name of the game. Når du går fra det glade amateurdag til at være et brand, som går ud med en turné,
00:35:38 - 00:35:47  |    så er det, var jeg næsten ved at sige, desværre sådan det foregår. I den optimale verden, der havde du dit færdige show,
00:35:47 - 00:35:55  |    og du vidste præcis, hvad der var i showet, og så gik du ud og lavede markedsføring på det. Men det er bare ikke sådan det foregår.
00:35:55 - 00:36:04  |    Og hvorfor er det vigtigt for dig at få hele det her marketing overstået, før du rigtig går i gang med at skreve?
00:36:04 - 00:36:11  |    Det er vigtigt for mig at få overstået det markedsføringsmæssige, før jeg går i gang med processen om at skrive showet,
00:36:11 - 00:36:20  |    fordi jeg har en erfaring, der hedder, at når jeg først kravler ind i det kreative rum, så bliver jeg kropumuligere at have med at gøre.
00:36:20 - 00:36:29  |    Jeg bliver hys, jeg bliver kort for hovedet, jeg synes alle er idioter, og min erfaring er, at man skal ikke snakke med journalisterne,
00:36:29 - 00:36:38  |    når man synes alle er idioter. Så det er simpelthen en form for damage control, og sørge for at få overstået den del,
