00:00:00 - 00:00:02  |    Nyheder fra DR København.
00:04:33 - 00:04:38  |    Ja, det er som om et nyt lys, ikke en ting der rammer.
00:04:38 - 00:04:45  |    Så når du skiner på mig, og et nyt lys føler mig forandret,
00:04:45 - 00:04:54  |    vi går i en helt ny vej, det er ikke en ting der kan slå mig ud.
00:04:55 - 00:05:02  |    Ja, det er som om et nyt lys, og et nyt lys rammer mig.
00:05:02 - 00:05:06  |    I Monopolet dags sine Lindeqvist, Jesper Benser og Peter Kvortog Geisling,
00:05:06 - 00:05:09  |    og det næste dilemme, det kommer fra en lytter, der kalder sig Ida.
00:05:09 - 00:05:11  |    Hun skriver hej, Sarah Monopolet.
00:05:11 - 00:05:14  |    Jeg bor sammen med min kæreste Erasmus og hans to børn,
00:05:14 - 00:05:16  |    begge under ti år, som vi har hver anden uge.
00:05:16 - 00:05:19  |    Jeg er midt i 20'erne, og han er slut 30'erne.
00:05:19 - 00:05:24  |    Vi har det rigtig godt, og alt spiller, men vi bor lige i PT til leje,
00:05:24 - 00:05:27  |    og har lige købt vores drømmehus, som vi alle fire skal flytte ind i.
00:05:27 - 00:05:32  |    Huset er stort nok til alle fire, og måske alle fem på sigt.
00:05:32 - 00:05:36  |    Vi snakker om at lave vores økonomi om til fællesøkonomi,
00:05:36 - 00:05:40  |    og dermed dele alle udgifter, hertil også min kærestes børns udgifter
00:05:40 - 00:05:43  |    i dagligdagen sammen med fremtidige efterskole,
00:05:43 - 00:05:46  |    konfirmationer, kørekort osv.
00:05:46 - 00:05:49  |    Min kæreste mener, at jeg bør tage del i det, fordi jeg har valgt
00:05:49 - 00:05:53  |    at tage hele pakken, da vi fandt sammen for cirka fire år siden.
00:05:53 - 00:05:55  |    Men jeg er rigtig meget i tvivl, om jeg kan tillade mig
00:05:55 - 00:05:57  |    at trække lidt i land med fællesøkonomi.
00:05:57 - 00:06:01  |    Jeg synes ikke, at det er i gårsågne mine penge ind i en fællesøkonomi,
00:06:01 - 00:06:04  |    der skal dække efterskole, konfirmationer osv.
00:06:04 - 00:06:07  |    Det mener jeg, mor og far bør gøre til deres børn.
00:06:07 - 00:06:08  |    Så hvad gør jeg?
00:06:08 - 00:06:12  |    Er det mor og far, der dækker de større udgifter til deres børn,
00:06:12 - 00:06:14  |    eller bør jeg tage en lige så stor del i det,
00:06:14 - 00:06:16  |    og dermed lave fællesøkonomi?
00:06:16 - 00:06:18  |    De bedste hilsner fra Ida.
00:06:18 - 00:06:19  |    Signe Lindqvist.
00:06:20 - 00:06:21  |    Altså...
00:06:23 - 00:06:29  |    Det mest sexet, lækre, kærlige, hvidunderlige, inspirerende,
00:06:29 - 00:06:32  |    poetiske, fantastiske, der findes i livet,
00:06:32 - 00:06:34  |    det er, hvis folk er generøse.
00:06:34 - 00:06:37  |    Og nærhed er noget, fanden har skabt.
00:06:37 - 00:06:39  |    Og hvis man først lukker nærhed ind,
00:06:39 - 00:06:45  |    så bliver det sådan en lille ile, der sætter sig og edrer på alt.
00:06:45 - 00:06:47  |    For hvis man pludselig lukker lidt op fra nærheden,
00:06:47 - 00:06:49  |    så kommer der også lidt mere nærhed,
00:06:49 - 00:06:52  |    og undskyld, hvor meget betale hun, og hvor meget betale.
00:06:52 - 00:06:58  |    Altså, så hvis man på nogen måde har økonomisk råderum for det,
00:06:58 - 00:07:05  |    i Ida, og hvis hun på nogen måde kan finde det i sig selv,
00:07:05 - 00:07:09  |    så er akvæle ting med kærlighed og generositet,
00:07:10 - 00:07:12  |    det kommer så mange gange igen.
00:07:13 - 00:07:15  |    Okay, så du siger, at hun skal bare gå ind i denne fællesøkonomi?
00:07:15 - 00:07:18  |    Ja, hvis hun kan finde det i sig selv, så er det.
00:07:18 - 00:07:21  |    Man kan gå to veje.
00:07:21 - 00:07:25  |    Hvis hun vælger at gå den vej, der hedder din børn, din økonomi,
00:07:25 - 00:07:27  |    så pludselig, så bliver det også lidt hård,
00:07:27 - 00:07:29  |    men hvad når vi køber ind oppe i Irma,
00:07:30 - 00:07:31  |    hvor mange dine børn og dine børn er her,
00:07:31 - 00:07:33  |    så spiser de jo dobbelt så meget.
00:07:33 - 00:07:35  |    Altså, skal du så betale dobbelt så meget,
00:07:35 - 00:07:38  |    og pludselig, så bliver det bare mere og mere,
00:07:38 - 00:07:39  |    og det kan være noget, der løber løbsk,
00:07:39 - 00:07:41  |    men det kan også være, at man er så økonomisk presset,
00:07:41 - 00:07:45  |    så man ikke siger, enten så betaler jeg til børnene,
00:07:45 - 00:07:47  |    eller så kan jeg ikke komme over og besøge min mor,
00:07:47 - 00:07:50  |    hvor der bor i Hirtshals, og så er det jo en anden diskussion.
00:07:50 - 00:07:53  |    Men jeg vil bare sige, hvis man har økonomisk råderum
00:07:53 - 00:07:58  |    til at være stor i slaget, så tror jeg,
00:07:58 - 00:08:00  |    at det kommer meget flot tilbage.
00:08:00 - 00:08:01  |    Jesper?
00:08:01 - 00:08:04  |    Jeg synes, at Signe siger noget meget klogt og meget dejligt,
00:08:04 - 00:08:06  |    og tak for det indsmak der.
00:08:06 - 00:08:07  |    Men jeg synes også ham der.
00:08:07 - 00:08:08  |    Hvad hedder hun?
00:08:08 - 00:08:09  |    Rasmus?
00:08:09 - 00:08:10  |    Rasmus.
00:08:11 - 00:08:15  |    Jeg synes ikke, at han skulle komme hende mere i møde.
00:08:15 - 00:08:19  |    Jeg har hørt det der med, at han synes, at hun skulle blive draget.
00:08:19 - 00:08:21  |    Han skulle da særlig sige, at vi laver fællesøkologi,
00:08:21 - 00:08:24  |    men jeg skal selvfølgelig nok være der i vinterfrak og så videre.
00:08:24 - 00:08:27  |    Skal jeg nok få klar med min ex-kone?
00:08:27 - 00:08:28  |    Det er jo klart, at...
00:08:28 - 00:08:32  |    Og hvor er jeg ex-kone hen i? Det er ikke helt rigtigt.
00:08:32 - 00:08:36  |    Men jeg synes, jeg stemmer mest på Signe, når nu skulle være.
00:08:36 - 00:08:40  |    Okay, der er en bonus-info, som I fortalte os.
00:08:41 - 00:08:44  |    Det er, at de snakkede kort om det, da de startede med at date.
00:08:44 - 00:08:49  |    Hvis hun er midt tørende nu, så har hun været omkring 20.
00:08:49 - 00:08:53  |    Der er aftalt i de udskrivne, at han tog sig af Signebørn økonomisk,
00:08:53 - 00:08:58  |    indtil der var et fælles barn, eller indtil I var klar til at prioritere det.
00:08:58 - 00:09:01  |    Peter, hvad siger du til den her ting?
00:09:01 - 00:09:04  |    Jeg synes, det som Signe og Jesper har sagt...
00:09:05 - 00:09:07  |    Jeg tror ikke, jeg har et kommere til for jer.
00:09:07 - 00:09:10  |    Jeg synes, det er så fint, og så rigtigt.
00:09:10 - 00:09:13  |    Livet handler om at give det, det handler ikke om at få.
00:09:13 - 00:09:18  |    Og så kan man være naiv, og der er nogen, der skal have sær...
00:09:18 - 00:09:22  |    Det hedder særløje, hvis man har en stor virksomhed eller et eller andet.
00:09:22 - 00:09:26  |    Det ved jeg ikke om en anden situation, men...
00:09:26 - 00:09:28  |    Nej, det handler om at byde godt ind.
00:09:28 - 00:09:34  |    Og som Signe siger, hvis hun kan finde glæden i at være med til at løfte børnene,
00:09:34 - 00:09:38  |    samtidig med at ex-konen også sørger for, at de får nogle frakker.
00:09:38 - 00:09:40  |    Det har jeg en information omkring.
00:09:40 - 00:09:45  |    Ida og Rasmus får ikke nogen af børnepengene til Rasmus' børn,
00:09:45 - 00:09:50  |    for de får børnes mor, og så sørger hun for deres tøj over rundt til dem.
00:09:50 - 00:09:51  |    Så den ordning har de.
00:09:52 - 00:09:55  |    Det handler om de store ting, efterskoler og konfemption osv.,
00:09:55 - 00:10:00  |    som også er en stor måndfuld udgift, også på måndteplan.
00:10:00 - 00:10:06  |    Hvad er størst? Er det økonomi eller kærlighed og respekt, der er størst?
00:10:06 - 00:10:08  |    Hvis det er det sidste, så har du også svaret.
00:10:08 - 00:10:09  |    Signe har sagt det.
00:10:09 - 00:10:12  |    Det, hvor man i virkeligheden kan sige det, det er,
00:10:12 - 00:10:17  |    at hvis ex-konen har vind og frakker, så er der allerede et problem mindre.
00:10:18 - 00:10:22  |    Så handler det om almindelig mad og en ny seng til værelset,
00:10:22 - 00:10:24  |    og lomme penge og noget haløj.
00:10:24 - 00:10:28  |    Efterskoleudgiften er altid stor og flot, til alle mennesker.
00:10:28 - 00:10:31  |    Det bliver nemlig nogle store kaløjsager.
00:10:31 - 00:10:35  |    Hvis de begge to er under ti nu, så er der jo noget tid til.
00:10:35 - 00:10:39  |    Men der kan hun jo godt sige, at hun er med på det hele,
00:10:39 - 00:10:42  |    men vi bliver nødt til at snakke om det, når vi kommer tættere på.
00:10:42 - 00:10:45  |    For jeg er bange for, om jeg kan være med økonomisk.
00:10:45 - 00:10:50  |    Fordi det koster hurtigt 100.000 og ry på efterskole.
00:10:50 - 00:10:55  |    Men jeg vil sige, at der er en anden pointe i det, som er enormt fedt.
00:10:55 - 00:11:02  |    Det er, at hun jo i virkeligheden investerer i de to børn.
00:11:02 - 00:11:06  |    Og man skal ikke undervurdere børn af markvikeren, vi alle sammen går over.
00:11:06 - 00:11:11  |    Så hvis de to børn godt kan mærke, at Ida blander sig i konfirmationen og siger,
00:11:11 - 00:11:16  |    jeg er ligeglad om det der sted, festlokale, af 5.000 kroner dyre.
00:11:16 - 00:11:18  |    Jeg synes, det er meget federe. Jeg synes, vi skal tage det.
00:11:18 - 00:11:25  |    Så gør det altså også, at Ida sætter sig ind i deres liv på en helt anden måde.
00:11:25 - 00:11:28  |    Og det med at få nogle relationer og få nogle flere børn.
00:11:28 - 00:11:31  |    Jeg er næsten ligeglad, hvor mange penge hun betaler for det, det er godt givet ud.
00:11:31 - 00:11:38  |    Hvad siger du Signe, hvis hun engagerer sig økonomisk i de retmuse børn?
00:11:38 - 00:11:39  |    Det kan børnene også mærke.
00:11:39 - 00:11:41  |    Så det vil de gerne have.
00:11:42 - 00:11:42  |    Helt sikkert.
00:11:43 - 00:11:47  |    Og så kan man grundlæggende sige, at stedefamilier er meget svære at navigere i.
00:11:47 - 00:11:50  |    Og det bliver også spændende med det nye barn, og der kommer til at være alle mulige ting.
00:11:50 - 00:11:55  |    Så hvis man virkelig kan finde det store hjerte frem og skrøj streg tegn på,
00:11:55 - 00:11:57  |    så er det virkelig meget bedre.
00:11:57 - 00:11:59  |    Og det er meget nemmere.
00:11:59 - 00:12:03  |    Fordi det er meget nemmere at gå ind i, som Peter siger, en noget, hvor man kan give.
00:12:03 - 00:12:06  |    En noget, hvor man hele tiden skal være på vagt med at være smålige.
00:12:06 - 00:12:09  |    Fordi det er ligesom pæst.
00:12:09 - 00:12:12  |    Det æder en at stille og roligt fra hinanden af.
00:12:12 - 00:12:17  |    Men er der også noget til at sige, som du siger, Signe, hvis det betyder, at hun ikke har råd til
00:12:17 - 00:12:19  |    at gøre nogle ting, som hun gerne vil?
00:12:19 - 00:12:21  |    Men så på en eller anden måde, så er det måske også at sige det.
00:12:21 - 00:12:25  |    Og at sige, jeg vil vildt gerne, men vi bliver også så nødt til at putte ind i budgettet,
00:12:25 - 00:12:28  |    at jeg skal til hirtalte engang om måneden og besøge min mor og mor.
00:12:28 - 00:12:30  |    Fordi det vælger.
00:12:30 - 00:12:33  |    Men prøv at høre, jeg er blevet skilt.
00:12:33 - 00:12:38  |    Og med delebørn, og faren har fået ny kone og delebørn, og jeg selv har en kæreste,
00:12:38 - 00:12:44  |    og han har børn, altså tro mig, jeg har delebørn, og nye familier, og skilsmisse.
00:12:44 - 00:12:48  |    Altså, jeg har navigeret i det her i 15 år.
00:12:48 - 00:12:55  |    Tror mig, det er meget, meget, meget nemmere at forsøge at kvæle alt med kærlighed.
00:12:55 - 00:12:56  |    Amen, og penge.
00:12:56 - 00:12:57  |    Amen.
00:12:57 - 00:12:59  |    Var det da dejligt?
00:12:59 - 00:13:00  |    Lad os stå skudt på det.
00:13:01 - 00:13:04  |    Generelt set, kvæl alting med kærlighed, men altså også økonomi.
00:13:04 - 00:13:07  |    Og slå alle de der kanaler, og tilgive ham for alt det lort, han har lavet.
00:13:07 - 00:13:08  |    Hvis du kan i det.
00:13:09 - 00:13:10  |    Hvis du har mulighed for det.
00:13:10 - 00:13:11  |    Det er det, der er svaret herinde.
00:13:11 - 00:13:13  |    Og vær sød ved X-konen.
00:13:13 - 00:13:16  |    Si, hun ser flot ud i kjolen.
00:13:16 - 00:13:29  |    Kvæl dem med kærlighed.
00:14:47 - 00:14:49  |    Så kis mig.
00:15:07 - 00:15:09  |    Kis mig.
00:15:09 - 00:15:12  |    Bind mig i mælken i twiliget.
00:15:12 - 00:15:17  |    Lid mig ud på mulighedet.
00:15:17 - 00:15:19  |    Løft din åbne hænd.
00:15:19 - 00:15:22  |    Stryk op i banden og gør farfar.
00:15:22 - 00:15:27  |    Der er en silbermøde sparkende.
00:15:27 - 00:15:29  |    Så kis mig.
00:15:29 - 00:15:34  |    Så kis mig.
00:15:35 - 00:15:44  |    Så kis mig.
00:15:50 - 00:15:54  |    Så kis mig.
00:15:54 - 00:16:22  |    I Monopolet er Jesper Bens og Signe Lindqvist og Peter Kvortrop Geisling, og en lytter, der kalder sig Lisa, har skrevet til os på Monopolet, snavla.d.r.dk, hun skriver, hej Sara, det dejlige Monopol, min mand Jens og jeg herhjemme er bare ikke enige.
00:16:22 - 00:16:35  |    Vi har et godt sexliv, men han mener ikke, at vi kan have sex, når jeg er menstruation. Jeg kan ikke se problemet i at lægge et håndklæde under, men han vil bare slet ikke, og det handler helt sikkert om, at der er blod. Og dog så er han okay med at gøre det i badet.
00:16:35 - 00:16:45  |    Jeg har den overbevisning, at det vil de fleste mænd da, men det mener han bestemt ikke. Vi har aldrig haft andre sexpartner, så vi har ikke erfaringer fra tidligere partner at trække på.
00:16:45 - 00:17:01  |    Vi har kendt hinanden i knap 20 år, været gift i 10 år, og det har været et problem gennem hele vores forhold. Må jeg bare acceptere hans ønske om afstand med menstruationsblod på en tes, eller kan jeg fortælle ham, at de fleste har der sex trots menstruation?
00:17:01 - 00:17:15  |    Håndklæde og en vask er jo indre problem. Det kan også bare være mig, der er mærkeligere og ønsker sex i den periode, og så har Lise lavet en smiley, der holder sig selv for øjnene. Jeg glæder mig til at høre jeres syn på sagen. Hilsen Lise. Jeg vil gerne starte med dig, Peter.
00:17:15 - 00:17:31  |    Når det handler om sex, hvis vi tager den store helikoptere, hvis det handler om sex, må man aldrig nogensinde forsøge at få den anden med på noget, han eller hun ikke har lyst til. Så går det galt. Så mister man respekten. Man mister lysten til sex. Det bliver forbundet med noget negativt i stedet for noget positivt.
00:17:31 - 00:17:50  |    Så hvis den, der sætter barn lavest på de forskellige områder, bestemmer et eller andet sted, hvor grænsen går, så må det være, ellers går det galt. Så når han har det svært med hendes menstruationsblod, hvis han har det sådan, så er det bare.
00:17:50 - 00:18:03  |    Og det kan man forsøge at argumentere sig ud af, hvis det ikke hjælper. Hvis han stadigvæk har det sådan, så har han det sådan. Og så er det de to, der har en grænse, der går sammen.
00:18:03 - 00:18:14  |    Hun spørger også, om det bare hende, der ønsker, at der er mærkelige at ønske sexmænds under menstruation. Sker der et eller andet fysisk, eller?
00:18:14 - 00:18:21  |    Det ved jeg sgu ikke. Der er ikke en dobbelt blind undersøgelse fra Lancet om mænd og sex.
00:18:21 - 00:18:23  |    Og man bliver sjæskliderlige under menstruation.
00:18:23 - 00:18:26  |    Jeg tror, at mænd er enormt forskellige på det område.
00:18:26 - 00:18:29  |    Jeg har tænkt på Lise. Hun siger også, at det er bare mig, der gerne vil have sex, når jeg er i menstruation.
00:18:29 - 00:18:33  |    Nå, på den måde. Jeg tror, at kvinder er lige så forskellige som mænd. Det ved jeg faktisk.
00:18:33 - 00:18:39  |    Jeg har aldrig hørt om det før. At man skulle blive ekstra sexlysten under menstruation.
00:18:39 - 00:18:47  |    Nå, på den måde der. Nej, det tror jeg ikke. Tværdemod kan du sige, fordi når du har menstruation, så er det jo livmårene, der afstøder halvdelen af slimhænden.
00:18:47 - 00:18:51  |    Det vil sige, at det er jo ikke i den periode, hvor man bliver gravid. Tværdemod.
00:18:51 - 00:19:00  |    Det er omkring ægløsningen, der kan være større lyst til sex, hvis der er noget. Det ligger jo nogle dage før. Så nej, det tror jeg ikke.
00:19:00 - 00:19:13  |    Okay. Jeg synes, det giver så... Det er sådan en dejlig lille ting, man lige kan have skrevet ned i sin notesbog og tænke omkring det der med sex.
00:19:13 - 00:19:23  |    Det er en god lille regel, at sex skal altid være noget, hvor begge to har lyst til det hele hele tiden. Så jeg er meget enig med dig, Peter.
00:19:23 - 00:19:30  |    Det jeg dog bare må sige, det er, jeg kan... Men jeg er også en lille kylling. Jeg er virkelig dårlig til blod.
00:19:30 - 00:19:37  |    Og jeg er sådan en typen, som når folk har faldet og slået sig fra knæet, og så kommer jeg ind til at sige, at nu skal jeg lige hjælpe jer.
00:19:37 - 00:19:41  |    Og så forsøger jeg at være moragtig typen. Så er jeg jo nærmest ved at besvinde.
00:19:41 - 00:19:49  |    Jeg er sygt dårlig til det. Så jeg skal være ærlig og sige, jeg har aldrig dyrket sex i menstruationsfasen, og vil slet ikke have lyst til det.
00:19:49 - 00:19:55  |    Så hvis jeg skulle det, så ville det også for mig helt klart være en løsning, at det skulle foregå i badet.
00:19:55 - 00:20:03  |    Jeg vil heller ikke være typen, som nu lægger der lige et håndklæde, og så kan vi knalle nogen på det, men så er vi bagefter alle sammen smudt ind i blod.
00:20:03 - 00:20:06  |    Altså så vil jeg være bange for at besvinde. Det vil jeg slet ikke kunne koncentrere mig over.
00:20:06 - 00:20:14  |    Og jeg vil også være for bange for, om jeg får naset altid med blod, eller hvor meget blod. Det vil jeg ikke gode skål. Så jeg kan godt forstå, Jens.
00:20:14 - 00:20:19  |    Okay. Har du noget til for, Jens, på pinser?
00:20:19 - 00:20:25  |    Altså, jeg synes, Pinder fik sagt det rigtigt med det der, og det var en god lille tomfingereal.
00:20:25 - 00:20:33  |    Jeg tænker oftest, at når hun så spørger om, hvad er normalt, så synes jeg mere, jeg er stødt på, at kvinden synes, det er for besværligt med det hele.
00:20:33 - 00:20:35  |    Ja.
00:20:35 - 00:20:42  |    Så er det jo bare naturligt, og der er jo respekt, der kalder det nok alligevel til at vente fire dage, ikke?
00:20:42 - 00:20:52  |    Men hvis Lisa har mere lyst til sex under menstruation, så synes jeg også, det er færdig nok, at hun siger det åbent og ærligt.
00:20:52 - 00:21:01  |    Prøv at høre, Jens, det har jeg vildt lyst til at knalde med under menstruation. Måske er det bare løsninger, at de så går mere i bad, hvis han gider det.
00:21:01 - 00:21:03  |    Altså, hvis det er det, han gider.
00:21:03 - 00:21:12  |    Ja, fordi det er vel en ansede af det. Jeg er også helt med på det der med, at man har den grænse i sit forhold. Hvis der er en, der siger nej til sex, så skal man jo respektere det.
00:21:12 - 00:21:20  |    Men hvis den anden virkelig har, ligesom Lisa har lyst til det her, eller hvis man skulle løfte det lidt op for andre, og det kan også handle om andre ting, nogen har lyst til at prøve,
00:21:20 - 00:21:28  |    hvordan griber man så det and? Hvis den ene har lyst til at prøve et eller andet, men ikke vil, og man er gift, og man gerne vil blive sammen, hvordan gør man så det?
00:21:28 - 00:21:41  |    Kæmpe flotte spørgsmål. Der skal selvfølgelig være en eller anden form for pigerlighed intellektuelt mellem menneskerne, så man kan tage en dialog uanset, hvor man er henne i den nye eventyr.
00:21:41 - 00:21:50  |    Forstår man det? Så det er vigtigt at holde dialogen kørende, så man hele tiden er opmærksom på hinanden, så kan man jo prøve alle mulige ting.
00:21:50 - 00:21:52  |    Det er klart, at dialogen skal køre dig.
00:21:52 - 00:21:54  |    Så det handler om kommunikation?
00:21:54 - 00:22:03  |    Ja, det gør det. Jeg havde en kammerat engang, der fortalte mig, at han var lidt træt af sin kæreste, fordi han synes hver morgen, når han vågner, at han har enormt meget lyst til sex.
00:22:03 - 00:22:11  |    Jeg kan ikke huske, at jeg har mødt mænd, der har haft så meget lyst til sex. Han har enormt lyst til sex. Så hver morgen, når han vågnede, så ville han egentlig godt lige have, at hun lavede blodjob på ham.
00:22:11 - 00:22:25  |    Det havde hun en ikke lyst til det der. Du kunne hun ikke forstå, fordi det var svært, at det tager de 3-4 minutter. Du kan da ikke begynde at masse dine egne behov på den måde ind på et andet menneske.
00:22:25 - 00:22:36  |    Prøv at forestille dig, at din kæreste siger, at hun enormt gerne havde, at du spiser et kæmpe stort stykke flødelagkage, som det første hver eneste morgen, når du vågner.
00:22:36 - 00:22:46  |    Hvordan vil du have det med flødelagkage efter den 14 dage? Vi må simpelthen ikke presse hinanden på det der. Vi må inspirere hinanden på den kærlige måde osv.
00:22:46 - 00:22:53  |    Og gerne hjælpe hinanden med at flytte hinandens grænser. Det er der ikke noget galt, hvis man gør det på den kærlige måde. Man må simpelthen ikke bare komme væltende med sine egne behov. Det går ikke.
00:22:53 - 00:23:08  |    Det går ikke. Det er et totalt klart melding. Det går ikke, Lise. Men prøv at forsøg at have en åben kommunikation omkring det. Og vær ærlig omkring dine egne behov og lyster, men respekter din kæreste og din mands grænser.
00:23:23 - 00:23:37  |    Super nu var vi på vild energi. Exploderede bumer, så var det forbi. Jeg skulle være fri, og så sendte jeg dig videre ud af Mænketvej.
00:23:37 - 00:23:54  |    Må du også gå og tænke på, hvad vi kunne være blevet til? Stjerner, der glemter, vi var i, og du ved det, jeg ligger søvnløs og tænker på.
00:23:54 - 00:24:11  |    Mon dit hjerte banker, banker lidt endnu, giver, giver et livstegn. Husker du, at vi to, vi var ikoner, og vi kunne skinnles. Billioner lys, og min sjæl har længere læntes efter din.
00:24:11 - 00:24:34  |    Verden ender for vildt, da du var min, og vi to, vi var ikoner, og vi kunne skinnles. Billioner lys, giver, giver et livstegn.
00:24:34 - 00:24:50  |    Og så en satellite af du, der er ude endnu i kredsløb i mit sidsiden, vi gik i to år. Det var et sus, og det var så høj, som de nætter, hvor vi tog vi fløj.
00:24:50 - 00:25:07  |    Men du også går og tænker på, hvad vi kunne være blevet til? Stjerner, der glemter, vi var i, og du ved det, jeg ligger søvnløs og tænker på.
00:25:07 - 00:25:24  |    Mon dit hjerte banker banker lidt endnu, giver, giver et livstegn. Husker du, at vi to, vi var ikoner, og vi kunne skinnles. Billioner lys, og min sjæl har længere læntes efter din.
00:25:24 - 00:25:48  |    Værden den var for vild, da du var min, og vi to, vi var ikoner, og vi kunne skinnles. Billioner lys, giver, giver et livstegn.
00:25:48 - 00:26:09  |    Men du også går og tænker på, hvad vi kunne være blevet til? Stjerner, der glemter, vi var i, og du ved det, jeg ligger søvnløs og tænker på. Mon dit hjerte banker banker lidt endnu.
00:26:18 - 00:26:37  |    Billioner lys, giver, giver et livstegn.
00:26:37 - 00:26:52  |    You see tonight it could go either way, hearts balanced on a razor blade. We are designed to love and break, then to rinse and repeat it all again.
00:26:52 - 00:27:07  |    I get stuck when the world's too loud and things don't look up when you're going down. I know your arms are reaching out from somewhere beyond the clouds.
00:27:07 - 00:27:22  |    You make me feel like my troubled heart is a million miles away. You make me feel like I'm drunk on stars and we're dancing out in space.
00:27:22 - 00:27:39  |    Celestials. Celestials.
00:27:39 - 00:27:55  |    I see the light shining through the rain. A thousand colors in a brighter shade. Needed to rise from the lowest place. There's silver lining that surrounds the grave.
00:27:55 - 00:28:10  |    When I get lost, will it come back round? Things don't look up when you're going down. I know your arms, they are reaching out from somewhere beyond the clouds.
00:28:10 - 00:28:25  |    You make me feel like my troubled heart is a million miles away. You make me feel like I'm drunk on stars and we're dancing out in space.
00:28:25 - 00:28:42  |    Celestials. Celestials.
00:28:42 - 00:28:57  |    We were made to be nothing more than this. Finding magic in all the smallest things. The way we notice that's what really matters. Let's make tonight go on and on and on.
00:28:57 - 00:29:12  |    You make me feel like my troubled heart is a million miles away. You make me feel like I'm drunk on stars and we're dancing out in space.
00:29:12 - 00:29:27  |    Celestials. Celestials.
00:29:27 - 00:29:45  |    Celestials. Celestials.
00:29:45 - 00:30:00  |    We were made to be nothing more than this. Finding magic in all the smallest things. The way we notice that's what really matters. Let's make tonight go on and on and on.
