00:00:00 - 00:00:02  |    Vi skal kigge igennem.
00:02:36 - 00:02:40  |    fordi der sker så meget hele tiden rundt om mig.
00:02:40 - 00:02:42  |    Og hvad er det fede ved at være her?
00:02:42 - 00:02:44  |    Det er helt klart, at det er, at man er her.
00:02:44 - 00:02:46  |    Kan du sige, at det er god ved at være her?
00:02:46 - 00:02:51  |    Nå, det er god ved at være her. Det er helt klart, at man er her hele tiden.
00:02:51 - 00:02:54  |    Det er også meget fedt, fordi så behøver man ikke det der hjemme,
00:02:54 - 00:02:56  |    hvor man skal lave aftaler med folk og sådan noget.
00:02:56 - 00:02:59  |    Her falder det bare naturligt ind, at man er sammen.
00:02:59 - 00:03:01  |    Så nogle gange er man sammen, hvor man ikke laver noget,
00:03:01 - 00:03:03  |    og det er man jo heller ikke så ofte derhjemme,
00:03:03 - 00:03:06  |    så har man ofte lavet en aftale, fordi man vil lave et eller andet.
00:03:06 - 00:03:09  |    Så det synes jeg er ret fedt, at man bare kan sidde på værelsetet
00:03:09 - 00:03:13  |    og lige komme på en idé om, om vi skal se julekalender eller et eller andet.
00:03:13 - 00:03:17  |    Random. Det synes jeg, det er det fede ved at være her.
00:03:17 - 00:03:19  |    Så er der et godt fællesskab?
00:03:19 - 00:03:21  |    Ja, det er der faktisk, det synes jeg.
00:03:21 - 00:03:23  |    Kan jeg få til at sige dig?
00:03:23 - 00:03:26  |    Der er et rigtig godt fællesskab hernede i forhold til,
00:03:26 - 00:03:31  |    at der ikke er så mange grupper i forhold til nogen, der bestemmer.
00:03:31 - 00:03:33  |    Selvfølgelig er det altid naturlige vennegrupper,
00:03:33 - 00:03:35  |    de kommer alle steder.
00:03:35 - 00:03:37  |    Men der er ikke det der, hvor der er nogen, der er op i toppen
00:03:37 - 00:03:40  |    og bare kan sidde ned på alle de andre og træmpe på dem.
00:03:40 - 00:03:42  |    Det føler jeg ikke rigtig dejligt.
00:03:42 - 00:03:44  |    Og så har du en værelseskammerat, der hedder Sonja.
00:03:44 - 00:03:45  |    Ja.
00:03:45 - 00:03:48  |    Hvad skal jeg sige om sådan?
00:03:48 - 00:03:50  |    Ja, jeg bor på værelsemændigheden.
00:03:50 - 00:03:54  |    Nå, jeg bor på værelsemændigheden, der hedder Sonja.
00:03:54 - 00:03:56  |    Vi har ikke været på ømis så længe faktisk.
00:03:56 - 00:04:00  |    Vi har været på ømis i tre uger eller sådan noget.
00:04:00 - 00:04:02  |    Men hun er virkelig sød,
00:04:02 - 00:04:05  |    og jeg føler, vi klikker ret godt sammen.
00:04:05 - 00:04:07  |    Fint.
00:04:10 - 00:04:12  |    Den historie, som vi laver et program om nu,
00:04:12 - 00:04:15  |    det er jo første gang, som du fortæller den højt, kan man sige,
00:04:15 - 00:04:17  |    og især på fjern, synes jeg.
00:04:17 - 00:04:20  |    Hvorfor vil du gerne det nu?
00:04:20 - 00:04:24  |    Jeg vil gerne fortælle den historie i forhold til
00:04:24 - 00:04:27  |    at få budskaber ud omkring,
00:04:27 - 00:04:31  |    at rapporten måske ikke altid gør det lige godt,
00:04:31 - 00:04:34  |    og måske ikke lige hanterer det lige godt
00:04:34 - 00:04:38  |    i forhold til det, de måske burde gøre.
00:04:38 - 00:04:43  |    Ja, så tror jeg også bare det, fordi jeg synes ikke, det er okay.
00:04:43 - 00:04:45  |    Hvad er det der ikke okay?
00:04:45 - 00:04:48  |    At de bare smider den væk.
00:04:48 - 00:04:51  |    At de ikke vælger at gøre det færdigt.
00:04:51 - 00:04:54  |    Det, som de har gået og arbejdet på,
00:04:54 - 00:04:57  |    at de så bare synes, at der er gået for mange år,
00:04:57 - 00:04:59  |    de så bare dropper det hele.
00:04:59 - 00:05:01  |    Det synes jeg ikke er okay.
00:05:03 - 00:05:06  |    Den dag her, januar 2019,
00:05:06 - 00:05:08  |    vi fandt ud af, at det var en onsdag,
00:05:08 - 00:05:11  |    prøv at fortælle, hvad der sker.
00:05:11 - 00:05:14  |    Du skal hjem fra skole, og hvad sker der så?
00:05:14 - 00:05:17  |    Jeg er på vej hjem fra skole,
00:05:17 - 00:05:19  |    hvor det begynder at småregne lidt.
00:05:19 - 00:05:21  |    Så jeg vælger at tage min hætte på
00:05:21 - 00:05:25  |    fra skolen, indtil jeg møder tre fra min klasse.
00:05:25 - 00:05:29  |    Så jeg tænker, så føles jeg bare med dem dernede.
00:05:29 - 00:05:32  |    Og så føles jeg med dem,
00:05:32 - 00:05:35  |    og så kan jeg huske, at jeg står ved vejen.
00:05:35 - 00:05:37  |    Jeg ved ikke, hvad jeg skulle.
00:05:37 - 00:05:39  |    Men jeg kiggede til siden,
00:05:39 - 00:05:42  |    og så så jeg, at der var en fra klassen under mig,
00:05:42 - 00:05:45  |    som sad i bilen,
00:05:45 - 00:05:48  |    og så kan jeg ikke huske så meget mere.
00:05:48 - 00:05:50  |    Hvor var den bil i forhold til vejen?
00:05:50 - 00:05:53  |    Den var lige ved siden af mig.
00:05:53 - 00:05:56  |    Så hvis jeg stod her, så holdte den lige her.
00:05:56 - 00:05:59  |    Jeg ved ikke, om han skulle dreje der lige ud.
00:05:59 - 00:06:02  |    Men han var lige ved siden af mig, da jeg kiggede.
00:06:02 - 00:06:05  |    Hvor var det, du var på vej hen?
00:06:05 - 00:06:09  |    Jeg var på vej hjem til min far.
00:06:09 - 00:06:13  |    Og så plejer jeg at gå over, at der var 1000 gange,
00:06:13 - 00:06:16  |    og det har jeg gjort lige siden jeg var helt lille.
00:06:16 - 00:06:19  |    Så jeg tror, at der er nogle fra min familie,
00:06:19 - 00:06:22  |    der har været en farlig vej med trafikeret.
00:06:22 - 00:06:24  |    Men det var ikke fordi, vi så den,
00:06:24 - 00:06:26  |    som var noget farligt for mig og min søster,
00:06:26 - 00:06:29  |    fordi vi har gået over den så mange gange, siden vi var små.
00:06:29 - 00:06:32  |    Så jeg ved ikke, hvad jeg skal sige.
00:06:32 - 00:06:34  |    Og du var lidt inde på den farlige vej.
00:06:34 - 00:06:37  |    Hvad er det for en vej, hvis folk der ikke har været der?
00:06:37 - 00:06:39  |    Hvordan kan du beskrive det sted der?
00:06:39 - 00:06:43  |    Det er Tekrus, hvor der ligger en rigtig lille by,
00:06:43 - 00:06:45  |    lige ved siden af.
00:06:45 - 00:06:48  |    Så det er sat ned til 60 km i timen.
00:06:48 - 00:06:51  |    Men den kommer lige fra en 80 km.
00:06:51 - 00:06:54  |    Så jeg ved ikke, hvor mange der lige husker,
00:06:54 - 00:06:57  |    at de skal køre lidt langsommere lige der.
00:06:57 - 00:07:01  |    Så det er sådan en meget trafikeret vej.
00:07:01 - 00:07:05  |    Er det et sted, man skal være meget opmærksom?
00:07:05 - 00:07:08  |    Det synes jeg.
00:07:08 - 00:07:10  |    Jeg synes, man skal være meget opmærksom især,
00:07:10 - 00:07:14  |    fordi der kommer mange fra den skole, jeg går på dernede,
00:07:14 - 00:07:16  |    fordi der kører nogle busser dernede,
00:07:16 - 00:07:18  |    der kører lidt længere distanser end dem,
00:07:18 - 00:07:21  |    der kører på skolen.
00:07:21 - 00:07:25  |    Og så er det jo også en lille by, der er lige der.
00:07:25 - 00:07:29  |    Så på den måde skal man også være lidt opmærksom.
00:07:29 - 00:07:32  |    Men også bare fordi der er mange biler på en dag der.
00:07:32 - 00:07:35  |    Så man skal også bare være opmærksom i det hele taget,
00:07:35 - 00:07:37  |    fordi der kører rigtig mange biler og lastbiler.
00:07:37 - 00:07:42  |    Der kører faktisk det hele, busser og alting.
00:07:42 - 00:07:45  |    Men har du været nervøs nogensinde for at gå over derinde?
00:07:45 - 00:07:48  |    Ja, jeg har aldrig været nervøs for det.
00:07:48 - 00:07:51  |    Men så på dagen, hvor du kommer derned, og du siger,
00:07:51 - 00:07:55  |    at det sidste, du kan huske, det er ham fra skolen,
00:07:55 - 00:07:57  |    der sad i den bil der på siden af.
00:07:57 - 00:07:59  |    Hvad er det næste, du kan huske?
00:07:59 - 00:08:06  |    Det næste, jeg kan huske, det er, at jeg ligger inde i vejkryften
00:08:06 - 00:08:12  |    ovenpå noget græs, mens der er en vikar, der holder mit hoved,
00:08:12 - 00:08:15  |    hvor jeg spørger hende, om jeg drømmer.
00:08:15 - 00:08:20  |    Og så kan jeg huske, at de der ambulancemennesker,
00:08:20 - 00:08:23  |    de godt ville have mig oppe på en borg,
00:08:23 - 00:08:25  |    hvor jeg blev meget irriteret på dem,
00:08:25 - 00:08:28  |    fordi jeg ikke ville have, at de skulle løfte på mig.
00:08:28 - 00:08:30  |    Så de endte med at finde sådan en borg,
00:08:30 - 00:08:32  |    hvor de kunne klikke nede under mig,
00:08:32 - 00:08:34  |    fordi de måtte ikke rykke på mit ben.
00:08:34 - 00:08:36  |    Det ville jeg sgu ikke have.
00:08:36 - 00:08:39  |    Det kan jeg huske, og så kan jeg også huske,
00:08:39 - 00:08:42  |    at vi kører ind i en ambulance, og jeg snakker med dem.
00:08:42 - 00:08:45  |    Men jeg kan ikke huske præcis, hvad jeg snakker med dem om.
00:08:45 - 00:08:50  |    Jeg bemærkede heller ikke, da de gav mig den der drop i, for eksempel.
00:08:50 - 00:08:52  |    Hvilket jeg bemærkede rigtig meget af de andre gange,
00:08:52 - 00:08:54  |    jeg fik den i, når jeg skulle bræres.
00:08:54 - 00:08:56  |    Så det hænkte jeg også lidt vildt at slække af i mærke,
00:08:56 - 00:08:58  |    til de stak en nollen i mig.
00:08:58 - 00:09:00  |    Så det er nok det, jeg kan huske.
00:09:00 - 00:09:03  |    Det er, da du ligger hos Heidi i vejkanten der,
00:09:03 - 00:09:06  |    kan du mærke, hvad der er sket med din krop?
00:09:06 - 00:09:09  |    Ikke noget, jeg kan huske.
00:09:09 - 00:09:13  |    Hvorfor har de vælt det med, at de skal passe på benet?
00:09:13 - 00:09:15  |    Jeg kan ikke selv huske smerterne,
00:09:15 - 00:09:18  |    men jeg kan huske, at jeg ikke ville have,
00:09:18 - 00:09:20  |    at de skulle røre mit ben.
00:09:20 - 00:09:22  |    Så jeg har jo haft smerterne.
00:09:22 - 00:09:26  |    Min hjerne har bare lukket ned for dem.
00:09:26 - 00:09:30  |    Men mine nævre kan jo også stadig godt huske det.
00:09:30 - 00:09:32  |    Husk, hvor ondt jeg havde og sådan noget.
00:09:32 - 00:09:35  |    Det er bare min hjerne, der ikke rigtig kan huske,
00:09:35 - 00:09:37  |    hvad ondt det egentlig gjorde.
00:09:37 - 00:09:40  |    Hvordan kan de nærve at huske det?
00:09:40 - 00:09:42  |    Det ved jeg ikke.
00:09:42 - 00:09:44  |    Er det nogle gange, at det går op?
00:09:44 - 00:09:49  |    Ja, det gjorde det i starten, kunne jeg godt mærke det.
00:09:49 - 00:09:52  |    Men så også bare ren naturligt,
00:09:52 - 00:09:57  |    så det er noget ens nævre, de husker mere bedre end i hovedet.
00:09:57 - 00:09:59  |    Og så kommer du ind på hospitalet,
00:09:59 - 00:10:02  |    så tænker du, at du kan huske mere og mere, at det er.
00:10:02 - 00:10:04  |    Prøv at beskrive, hvad der sker derinde.
00:10:04 - 00:10:06  |    Når vi ankommer med ambulancen,
00:10:06 - 00:10:11  |    bliver jeg kørt ud, og så forsvinder Heidi lidt.
00:10:11 - 00:10:18  |    Så bliver jeg kørt ind på en stue, hvor min mor kommer.
00:10:18 - 00:10:22  |    Jeg kan huske, at jeg bliver rigtig ked af det, da jeg ser hende.
00:10:22 - 00:10:26  |    Jeg føler ikke, hun når at være der så længe,
00:10:26 - 00:10:30  |    før de kører mig væk fra hende og tager mig ind i en scanner,
00:10:30 - 00:10:32  |    hvor de lige får scannet min krop.
00:10:32 - 00:10:35  |    Så kommer jeg ud igen, og så er min fars søster der,
00:10:35 - 00:10:38  |    og så føler jeg bare, at vi var derinde rigtig længe,
00:10:38 - 00:10:42  |    indtil jeg fik noget gipsagtigt,
00:10:42 - 00:10:45  |    sådan noget til en nat gipsagtigt på mit ben,
00:10:45 - 00:10:48  |    og så får jeg en stue,
00:10:48 - 00:10:52  |    og så er jeg egentlig bare der resten af aftenen sammen med min familie.
00:10:52 - 00:10:56  |    Hvad tænker du derinde, du lægger dig til at sove om aftenen?
00:10:56 - 00:10:59  |    Jeg kan faktisk ikke huske, hvad jeg tænker,
00:10:59 - 00:11:02  |    men jeg føler, at jeg tog det ret chid.
00:11:02 - 00:11:05  |    Jeg var også... Altså, jeg ved ikke...
00:11:05 - 00:11:07  |    Jeg tror ikke, jeg var så ops på sådan nogle forskellige ting,
00:11:07 - 00:11:09  |    faktisk da jeg var 12 år.
00:11:09 - 00:11:13  |    Jeg tror, at efter jeg blev kørt ned, gik det op.
00:11:13 - 00:11:15  |    Der ændrede jeg mig lidt, føler jeg.
00:11:15 - 00:11:18  |    Jeg føler, at jeg blev lidt ældre,
00:11:18 - 00:11:21  |    og jeg tog mere ansvar,
00:11:21 - 00:11:25  |    og jeg blev nok også lidt sødere overfor mine forældre.
00:11:25 - 00:11:29  |    Jeg kom hurtigt på betægelsen, så jeg blev hurtigt en teenage grumpy,
00:11:29 - 00:11:32  |    inden jeg overhovedet rigtig var teenager.
00:11:32 - 00:11:34  |    Så jeg føler, at jeg blev lidt ældre af det,
00:11:34 - 00:11:37  |    men jeg kan simpelthen ikke huske, hvad jeg tænkte.
00:11:37 - 00:11:40  |    Jeg tror, der var jeg meget barnagtig,
00:11:40 - 00:11:43  |    jeg ikke rigtig tænkte så meget over det.
00:11:43 - 00:11:47  |    Hvorfor tror du, du blev ældre af det, når man kan sige det sådan?
00:11:47 - 00:11:50  |    Jeg tror, jeg fik lidt livserfaring.
00:11:50 - 00:11:52  |    Jeg ved det ikke helt.
00:11:52 - 00:11:55  |    Jeg tror, det satte et eller andet i gang i mig.
00:11:55 - 00:11:58  |    Jeg tror, det fik mig til at se lidt bedre,
00:11:58 - 00:12:01  |    og lidt positivere på alle ting,
00:12:01 - 00:12:10  |    og fik mig til at være lidt mere livsgladagtig.
00:12:14 - 00:12:17  |    Og da du så anbåsbetalte, så får de selvfølgelig undersøgte alt ved dig.
00:12:17 - 00:12:19  |    Hvad er det, der er sket med dig?
00:12:19 - 00:12:24  |    Jeg bagte min knogler i mit venstre skæneben,
00:12:24 - 00:12:26  |    knækkede helt over,
00:12:26 - 00:12:29  |    og så fik jeg et lille bro på mit håndled,
00:12:29 - 00:12:32  |    og så flækkede lidt af min ryg op,
00:12:32 - 00:12:34  |    men det var, hvis det ikke noget af de opdagede,
00:12:34 - 00:12:36  |    det var noget af det, vi selv opdagede,
00:12:36 - 00:12:38  |    fordi jeg væskede på mit sengentøj.
00:12:38 - 00:12:41  |    Og så flækkede noget af mit øre også en lille smule op,
00:12:41 - 00:12:44  |    og så fik jeg en meget slam jernerystelse.
00:12:44 - 00:12:46  |    Det var faktisk.
00:12:46 - 00:12:48  |    Så det var ikke så meget i forhold til,
00:12:48 - 00:12:50  |    men det er nok også meget at gøre med,
00:12:50 - 00:12:52  |    det var en meget lav bil,
00:12:52 - 00:12:55  |    så jeg gik mest ud over mit skinneben.
00:12:57 - 00:12:59  |    Fik du at vide efterfølgelig,
00:12:59 - 00:13:01  |    du snakkede også med nogle af dine veninder,
00:13:01 - 00:13:03  |    der så, at det skete ikke også?
00:13:03 - 00:13:05  |    Hvad har de fortalt dig, hvad så de?
00:13:07 - 00:13:11  |    De har fortalt mig, at de husker det som om,
00:13:11 - 00:13:13  |    at jeg har kigget mig før,
00:13:13 - 00:13:15  |    og så kiggede jeg hen på dem,
00:13:15 - 00:13:17  |    og så vinkelte jeg farvel til dem,
00:13:17 - 00:13:19  |    samtidig med, at jeg gik ud på vejen.
00:13:21 - 00:13:23  |    Det tror jeg, at det er bagsigt,
00:13:23 - 00:13:25  |    at de kan huske som sådan.
00:13:27 - 00:13:29  |    De har ikke fortalt mig så meget om det der med,
00:13:29 - 00:13:31  |    at da jeg blev ramt af bilen,
00:13:31 - 00:13:33  |    der har jeg mere at få ved af andre vidner,
00:13:33 - 00:13:36  |    at jeg blev ramt og slunget op i luften,
00:13:36 - 00:13:38  |    og landet ned på sådan en kølehjemme,
00:13:38 - 00:13:40  |    og glød ned af bilen,
00:13:40 - 00:13:42  |    og lå op en stik,
00:13:42 - 00:13:44  |    det var vel det, jeg får ved i det hele taget,
00:13:44 - 00:13:47  |    og alle vidner faktisk.
00:13:53 - 00:13:55  |    Så starter du sådan en genoptræning,
00:13:55 - 00:13:57  |    kan man sige, eller du har det her bed,
00:13:57 - 00:13:59  |    der selvfølgelig bare er lang tid,
00:13:59 - 00:14:01  |    men det er jo lang recovery-phase,
00:14:01 - 00:14:03  |    du går i gang med det her.
00:14:03 - 00:14:05  |    Hvordan er dit humør i den der periode?
00:14:07 - 00:14:09  |    Jeg husker det faktisk,
00:14:09 - 00:14:12  |    som om mit humør var sådan meget, meget okay.
00:14:12 - 00:14:15  |    Jeg husker det ikke, som om jeg var syg eller ked af det,
00:14:15 - 00:14:17  |    eller sådan noget.
00:14:17 - 00:14:19  |    Jeg føler faktisk, jeg var meget glad.
00:14:19 - 00:14:21  |    Jeg tror, jeg havde det meget fint.
00:14:21 - 00:14:24  |    Det var ikke fordi, at jeg så det som en stopper for mig,
00:14:24 - 00:14:26  |    tror jeg, at jeg havde brækket benet.
00:14:26 - 00:14:28  |    Jeg tror mere, jeg tog det bare med,
00:14:28 - 00:14:30  |    som det var.
00:14:30 - 00:14:32  |    Jeg ved ikke, jeg tror ikke,
00:14:32 - 00:14:34  |    jeg så dårligt på det som sådan,
00:14:34 - 00:14:37  |    at bare sådan, nu er det derragtigt.
00:14:37 - 00:14:39  |    Så jeg tror faktisk, jeg var meget glad.
00:14:39 - 00:14:41  |    Og så kom du i køresto?
00:14:41 - 00:14:43  |    Hvor lang tid var du i kørestolen?
00:14:43 - 00:14:45  |    Et halvt års tid.
00:14:45 - 00:14:49  |    Jeg var i kørestolen omkring et halvt års tid.
00:14:49 - 00:14:52  |    Så lige så snart, at jeg havde muligheden for,
00:14:52 - 00:14:54  |    at kunne komme op og gå,
00:14:54 - 00:14:56  |    så gjorde jeg det, så hurtigt jeg kunne.
00:14:56 - 00:14:58  |    Og jeg smedte også mine krykker,
00:14:58 - 00:15:00  |    så hurtigt som jeg kunne.
00:15:00 - 00:15:02  |    Når jeg stod i kørestolen,
00:15:02 - 00:15:04  |    så kunne jeg nemligst have ting med mig rundt omkring.
00:15:04 - 00:15:06  |    Men da jeg kom op på krykkerne,
00:15:06 - 00:15:08  |    der var det bare røv,
00:15:08 - 00:15:10  |    fordi jeg skulle gå med to krykker,
00:15:10 - 00:15:12  |    så jeg smedte krykkerne så hurtigt,
00:15:12 - 00:15:14  |    som jeg overhovedet kunne gøre det.
00:15:14 - 00:15:16  |    Fordi jeg gad simpelthen ikke gå med de der interne krykker.
00:15:16 - 00:15:18  |    Det var noget med,
00:15:18 - 00:15:20  |    at du ikke lige fik den helt rigtige behandling.
00:15:20 - 00:15:22  |    Og så heldigvis gik det stærkt,
00:15:22 - 00:15:24  |    så sidst da du kom ind på rædet.
00:15:24 - 00:15:26  |    Hvordan var det den der periode,
00:15:26 - 00:15:28  |    hvor du fandt ud af,
00:15:28 - 00:15:30  |    hvor du faktisk ikke havde den rigtige behandling,
00:15:30 - 00:15:32  |    jeg havde fået?
00:15:32 - 00:15:34  |    Jeg kan huske, at derfor jeg ved,
00:15:34 - 00:15:36  |    at de ikke havde gjort det ordentligt,
00:15:36 - 00:15:38  |    hvor de så puttede gips på mig.
00:15:38 - 00:15:40  |    Og jeg havde det faktisk.
00:15:40 - 00:15:42  |    Jeg vidste ikke helt, at de skulle starte helt forfra der.
00:15:42 - 00:15:44  |    Men der havde jeg det sådan meget.
00:15:44 - 00:15:46  |    Jeg havde det meget okay med det.
00:15:46 - 00:15:48  |    Jeg gik bare rømme lidt af gips,
00:15:48 - 00:15:50  |    og ventede lidt,
00:15:50 - 00:15:52  |    og så kom jeg ind igen,
00:15:52 - 00:15:54  |    fordi de skulle tage gipset af mig.
00:15:54 - 00:15:56  |    Og så tager de det af,
00:15:56 - 00:15:58  |    og så har de løftet op mit ben,
00:15:58 - 00:16:00  |    og så kunne de jo se,
00:16:00 - 00:16:02  |    at det var måske ikke helt endnu,
00:16:02 - 00:16:04  |    de skulle putte et nyt stativ på mig inde på Ridshospitalet.
00:16:04 - 00:16:06  |    Så de puttede et nyt gips på mig,
00:16:06 - 00:16:08  |    som jeg sad på i to uger.
00:16:08 - 00:16:10  |    Og så kommer jeg ind til Ridshospitalet,
00:16:10 - 00:16:12  |    og så fortæller de mig, at de skal knække det op
00:16:12 - 00:16:14  |    og starte helt forfra.
00:16:14 - 00:16:16  |    Og der blev også lidt...
00:16:16 - 00:16:18  |    Det magtede jeg ikke rigtigt,
00:16:18 - 00:16:20  |    fordi det havde gået rigtig lang tid med det andet også.
00:16:20 - 00:16:22  |    Og så knækker de det op,
00:16:22 - 00:16:24  |    og putter noget nyt på mig.
00:16:24 - 00:16:26  |    Og så var jeg...
00:16:26 - 00:16:28  |    Jeg var faktisk lam i benet de to første dage,
00:16:28 - 00:16:30  |    fordi de havde lammet hele mit ben,
00:16:30 - 00:16:32  |    så det var lidt besvarligt.
00:16:32 - 00:16:34  |    Men det var jo også inde på hospitalet,
00:16:34 - 00:16:36  |    fordi det var det første stykke tid,
00:16:36 - 00:16:38  |    lige da jeg fået det på.
00:16:38 - 00:16:40  |    Men der fortalte de mig også,
00:16:40 - 00:16:42  |    at det stativ kunne holde til alting,
00:16:42 - 00:16:44  |    så jeg kunne bare gå på det,
00:16:44 - 00:16:46  |    og al sådan noget.
00:16:46 - 00:16:50  |    Så det gjorde jeg ret hurtigt.
00:16:50 - 00:16:52  |    Altså måske tog lige lidt tid for mig
00:16:52 - 00:16:54  |    lige at starte med at tage og støtte på det igen.
00:16:54 - 00:16:56  |    Jeg kan huske,
00:16:56 - 00:16:58  |    der var sådan en fysiopæv på Ridshospitalet,
00:16:58 - 00:17:00  |    der skulle jeg prøve at gå ind i sådan en,
00:17:00 - 00:17:02  |    hvor jeg havde to ting at holde på.
00:17:02 - 00:17:04  |    Og jeg støttede godt nok ikke meget på den fod,
00:17:04 - 00:17:06  |    men jeg lod lidt til mig med at gøre,
00:17:06 - 00:17:08  |    men jeg tror godt, at de kunne se,
00:17:08 - 00:17:10  |    at jeg ikke rigtig støttede på det.
00:17:10 - 00:17:12  |    Men det kom hurtigt til mig,
00:17:12 - 00:17:14  |    og jeg så begyndte at gå rundt.
00:17:14 - 00:17:16  |    Så i hvert fald jeg bare tænkte,
00:17:16 - 00:17:18  |    hvorfor går hun der?
00:17:18 - 00:17:20  |    Fordi jeg bare har sådan en kæmpe stativ
00:17:20 - 00:17:22  |    på rundt om mit ben.
00:17:22 - 00:17:24  |    Men det gjorde jeg rigtig hurtigt naturligt
00:17:24 - 00:17:26  |    for at kunne få en mere normal hverdag igen.
00:17:26 - 00:17:28  |    Hvordan var det for dig,
00:17:28 - 00:17:30  |    da du går i det der stativ?
00:17:30 - 00:17:32  |    Hvordan føles det?
00:17:36 - 00:17:38  |    Jeg husker, at det føles rigtig ubehageligt.
00:17:38 - 00:17:40  |    Det der med at få mig selv til
00:17:40 - 00:17:42  |    at sætte væk på det,
00:17:42 - 00:17:44  |    som jeg har lavet være med at gøre
00:17:44 - 00:17:46  |    bevidst i så lang tid.
00:17:46 - 00:17:48  |    Det, synes jeg, var rigtig ubehageligt,
00:17:48 - 00:17:50  |    og jeg havde ikke rigtig lyst til at gøre det.
00:17:50 - 00:17:52  |    Men også det der med at få følelsen
00:17:52 - 00:17:54  |    under ens fod,
00:17:54 - 00:17:56  |    at man går på gulv,
00:17:56 - 00:17:58  |    at man rammer gulvet med ens fod,
00:17:58 - 00:18:00  |    så den var også rigtig ubehageligt,
00:18:00 - 00:18:02  |    den der følelse af, at man rammer gulvet
00:18:02 - 00:18:04  |    og skulle ligge væk på det.
00:18:04 - 00:18:06  |    Så vendede du dig til det?
00:18:06 - 00:18:08  |    Ja, så vendede jeg mig til det,
00:18:08 - 00:18:10  |    og så begyndte jeg rigtig hurtigt at gå på det.
