00:05:00 - 00:05:02  |    Ej, det er ikke nogen.
00:08:01 - 00:08:04  |    Jeg har fået nogle lokaler i Alberslund eller noget.
00:08:04 - 00:08:06  |    Nu prøver vi.
00:08:06 - 00:08:12  |    Du har også fået en mikrofon. Vi behøver ikke se, at det er heller ikke nogen problemer, hvis det opstår ikke.
00:08:12 - 00:08:14  |    Så fortsætter vi bare.
00:08:14 - 00:08:18  |    Det er den mikrofon, du har fået, der er god til kun at tage det egne.
00:08:18 - 00:08:22  |    Det her eksempel, som vi ser f.eks. i Skive, hvad tænker du om det?
00:08:22 - 00:08:24  |    Det er en rigtig uheldig udvikling.
00:08:24 - 00:08:29  |    Jeg synes, børn skal se og møde den type børn, som bor lige rundt om dem.
00:08:29 - 00:08:32  |    De skal lære at være sammen med dem. De skal lære sit forskellighed.
00:08:32 - 00:08:38  |    Så det er, at forældrene i Skive vælger at sige, at de ikke skal have vores børn til at gå på den skole, hvor der er for mange tursbrugere.
00:08:38 - 00:08:41  |    Det synes jeg simpelthen, at det er synd for deres børn.
00:08:41 - 00:08:46  |    De kommer til at lukke deres børn inde i en boble, og så kommer de ud i samfundet senere hen,
00:08:46 - 00:08:49  |    og så aner de ikke, hvordan de skal agere, fordi der kommer nogle fremmede.
00:08:49 - 00:08:53  |    De skal være sammen med fremmede børn. De skal være sammen med dem, der bor i deres distrikt.
00:08:53 - 00:08:58  |    De skal lære kvaliteten af at være sammen med folk, der er forskellige fra ens selv.
00:08:58 - 00:09:00  |    Det bliver de langt bedre mennesker af.
00:09:00 - 00:09:07  |    Men hvad er løsningen så, hvis du ikke mener, at privateskolerne skal straffes?
00:09:07 - 00:09:15  |    Det er, at vi skal have et folketing af nogle politikere, der i et langt højere grad i talet sætter værdien af, at vi har flere forskellige kulturer i Danmark.
00:09:15 - 00:09:21  |    Vi har de sidste 15 år haft travlt med at se ned på flygtning, indvandre og lave den ene stramning efter den anden,
00:09:21 - 00:09:23  |    og sige, at vi ikke har lyst til at have den her.
00:09:23 - 00:09:28  |    Så får folkeskolen opgaven, fordi forældrene flygter fra dem.
00:09:28 - 00:09:32  |    Vi skal have vendt den kultur i forældrenes hoved, og det er fra politisk hold, vi skal starte.
00:09:32 - 00:09:39  |    Og så skal vi selvfølgelig også forklare, hvorfor det er en rigtig god idé, at børn ser børn, der er forskellige fra dem selv.
00:09:39 - 00:09:45  |    Det er en værdi i det danske samfund, at vi kan være sammen, vi kan være tolerant, vi kan være åbne mennesker.
00:09:45 - 00:09:50  |    Det er ikke en værdi, at vi kun klumper os sammen med nogen, der ligner os selv.
00:09:50 - 00:09:57  |    Men kan du ikke godt forstå, at nogen forældre måske kan være bekymrede for, at fagligheden kan lide ved,
00:09:57 - 00:10:03  |    at der måske er en stor andel af eleverne, som ikke bestrider det danske sprog så godt?
00:10:03 - 00:10:08  |    Jo, hvis det er 99 procent trotsprog, så kan jeg godt forstå, at der er nogen forældre, der er bekymrede.
00:10:08 - 00:10:11  |    Men ellers må jeg sige, hvad er det for en faglighed, vi snakker om?
00:10:11 - 00:10:17  |    Fagligheden i dansk, den bliver måske en lille smule dårligere, det er ikke til at sige.
00:10:17 - 00:10:22  |    Men den menneskelige kvalitet, det at du bliver et ordentligt menneske, det du bliver tolerant,
00:10:22 - 00:10:26  |    det du får indsigt i andre kulturer, er også en del af det, du skal kunne i folkeskolen.
00:10:26 - 00:10:30  |    Det bliver man dårligere til ved at blive sammen med nogen, der kun ligner dig selv.
00:10:30 - 00:10:37  |    Du bliver ikke et bedre, større, klogere og mere tolerant menneske ved at blive sat ind i et system,
00:10:37 - 00:10:43  |    hvor du kun går sammen med nogen, der ligner dig og er lige så klog som dig og har forældret dig samme uddannelsespagning.
00:10:43 - 00:10:48  |    Det gør man bare ikke. Det er folkeskolen, der er kendetegnet ved, at vi har en stor diversitet,
00:10:48 - 00:10:52  |    og det skal de glæde sig over som forældre, at de kan få det tilbud.
00:10:52 - 00:10:59  |    Og du har jo allerede selv været lidt inde på det, men hvem står for ansvaret med at løse det her?
00:10:59 - 00:11:02  |    Ja, det er jo ikke fri og private skolerne, for de tilbyder bare undervisninger.
00:11:02 - 00:11:07  |    De børn, der har forældre, der vil betale for det, de kan melde sig ind, og det har vi haft som en kvalitet i Danmark.
00:11:07 - 00:11:13  |    Man kan diskutere om prisen for at have et barn i de forældre skolerne er for lav, når der er så mange, der kan vælge at gå derover.
00:11:13 - 00:11:21  |    Det er en anden politisk diskussion. Grundlæggende af det politiske problem er, at man har sat en historie i gang,
00:11:21 - 00:11:25  |    der siger, at vi bruger os ikke om fræmmet, at vi bruger os ikke om, at der er nogen, der anderledes end os selv,
00:11:25 - 00:11:30  |    og dem skal vi helst tage ud som hovedelig som muligt. Der er stadigvæk partier, der mener, at vi skal have dem ud som hovedelig som muligt.
00:11:30 - 00:11:34  |    Og det er der, vi bliver nødt til at starte. Så bliver vi nødt til at arbejde med forældrens forståelse af,
00:11:34 - 00:11:38  |    hvad en fællesskab i virkeligheden betyder.
00:11:38 - 00:11:47  |    Og så lige det første spørgsmål igen. Det er jo SF og så også Moderateren, der har været ude med det her forslag om,
00:11:47 - 00:11:56  |    at man skal straffe de private skoler, der ikke har mange elever med anden etnisk baggrund,
00:11:56 - 00:12:00  |    og så skal man belønne de folkeskoler, som der tager mange ind. Hvad tænker du om det?
00:12:00 - 00:12:05  |    Vi vil helst tage straffen væk, for jeg tror ikke på, at det hjælper. Men belønningen for at have mange tosbrug,
00:12:05 - 00:12:11  |    så vi kan levere en ordentlig undervisning, så vi kan levere en ordentlig tosbrugsundervisning, ser vi bare gerne, der kommer ud.
00:12:11 - 00:12:17  |    Vores problem er i øjeblikket, at kommunerne sparer og sparer og sparer, så hver gang de lægger penge ud til skoler med noget ekstra,
00:12:17 - 00:12:24  |    så får vi det i den ene hånd, som skoleleder, og på den anden hånd, der kommer kommunen og sparer flere penge på skolen, end dem, vi fik.
00:12:24 - 00:12:33  |    Så i virkeligheden skal vi også have et eller andet sat i værk, så skolen beholder de penge, så vi har det ekstra, så vi kan levere en ekstra god undervisning.
00:12:33 - 00:12:35  |    Så det ser vi meget gerne.
00:12:35 - 00:12:38  |    Ser du med bekymring på den her udvikling?
00:12:38 - 00:12:43  |    Ja, det gør jeg, og det er ikke bare på de skoler, hvor der er flyttende ind og andre.
00:12:43 - 00:12:52  |    Jeg synes også, at det er et problem, at man i højere og højere grad søger hen mod skoler, hvor elevgrundlaget svarer til den uddannelsesbaggrund og økonomi, som man har.
00:12:52 - 00:12:54  |    Så ser vi det svært mere og mere.
00:12:54 - 00:12:59  |    Tak skal du have. Det var alle vores spørgsmål, så vi kan klare det. Så skal vi sikkert have noget, hvor vi snakker.
00:12:59 - 00:13:06  |    Jeg har gået på deres forening og lavet nogle inklusionsundersøgelser igen, og hun refererer undersøgelserne og resultaterne fra mig,
00:13:06 - 00:13:11  |    men hun fortæller mig ikke detaljerne.
00:13:11 - 00:13:17  |    Så får hun lavet noget, og hun kan landes meget godt og ind på diskussionsklasse, så er det ikke inklusion.
00:13:17 - 00:13:23  |    Det er også godt, at hun har østerskud og sådan noget. Der er en hel masse, som hun ikke fortæller.
00:13:23 - 00:13:32  |    Så beder Rasmussen, at det er ikke det, vi skal bruge. Så skriver vi til hende, at det er simpelthen...
00:13:32 - 00:13:40  |    Når I ikke giver mig det rigtige detalje, når I selv er kritiske og bruger det, som de kan komme med, så kan jeg ikke bruge det.
00:13:40 - 00:13:47  |    Det var simpelthen sådan, at jeg skød med en teknolog.
00:13:47 - 00:13:51  |    Det er, når det bliver lidt for skarpt.
00:13:51 - 00:13:56  |    Måske en forhåndsjournalist, der ikke er vant til at lide at være kritisk. Der er denne undersøg, der hedder inklusionsundersøgelser.
00:13:56 - 00:14:01  |    Det er andre, hvor jeg trækker det. Men der skal man gå ind og se, hvad er det for en, der har lavet den.
00:14:01 - 00:14:04  |    Var det dem selv, der har lavet den, eller hvad med det der?
00:14:04 - 00:14:11  |    Det var kritiske foreninger. Og det andet, der vi lavede, det viser, at halvdelen, der gør, at det bliver spurgt, det er kun 1.000-2.000 gange til.
00:14:11 - 00:14:14  |    De går ikke ud på øjn, hvis I spurger dem.
00:14:14 - 00:14:19  |    De siger også, at det er en hver gang, at de ser øjn. Det viser du ikke. Det har man ikke set.
00:14:19 - 00:14:25  |    Det viser sig lidt længere fra, at det er så okay, men bare sådan.
00:14:25 - 00:14:28  |    Men hvis du spurger nogen ting, hvad jeg tænker, er det andet.
00:14:28 - 00:14:34  |    Du forventer jo, at have læst undersøgelser på to måneder siden, så vi ikke har visst, hvad der kommer.
