00:00:00 - 00:00:08  |    Jeg hedder Simon Kvam, jeg er 48 år og betegner mig selv som musiker og entertainer.
00:06:36 - 00:07:03  |    Jeg tror generelt jeg går efter det mantra der hedder vil jeg selv være publikum til det her. Synes jeg det er nødvendigt at der udkommer det her. Synes jeg der er brug for det. Det føles mærkeligt når jeg ser en film som jeg tænker hvad er det egentlig jeg skal bruge det her til.
00:07:03 - 00:07:30  |    Udover at jeg har fået halvanden til to timer af mit liv til at gå. Og det var egentlig meget spændende med den her film og min kagepring. Men det er ikke rigtig noget ved mit liv at gøre. Det tænker jeg det jeg sætter i gang skal have. Det skal have en eller anden relevans. Og jeg selv lagt mus testen på det.
00:07:30 - 00:07:35  |    Og synes du det er gået godt indtil videre at bruge det som sådan en pejlemærke?
00:07:35 - 00:08:03  |    Jeg synes overordnet set det er gået godt at bruge som pejlemærke. Opgaven er jo så i takt med at man som jeg begynder at leve et liv der rummer en række privilegier og på noget måde ikke ligner et almindeligt liv. Det er jo så på en eller anden måde at beholde kontakten til mennesker der lever et almindeligt liv. Så meget jeg kan også leve noget liv der ligner andres.
00:08:03 - 00:08:11  |    Ellers så begynder jeg jo at skrive sangen om at gå på den røde løber. Og der er den nærmest ikke noget mere røvsygt.
00:08:12 - 00:08:19  |    Og nu tænker jeg ikke at det her skal være at de bare skal ringe til dig hvis de har en idé.
00:08:20 - 00:08:22  |    Det kunne det godt være. Det er I velkommen til.
00:08:22 - 00:08:35  |    Ja det kan det være. Men har du et grønt råd til dem der ser det her program? Det kan jo være at de gerne selv vil være musikere eller lave satire eller lave teater eller noget andet kreativt.
00:08:36 - 00:08:39  |    Du tænker til de moderne individorienterede mænd som det her program er lavet til.
00:08:40 - 00:08:42  |    Præcis. Og pludselig dem der ser det på deres ord.
00:08:42 - 00:08:53  |    Ja, for det er lidt noget andre nemlig. Det er mere de klassiske musikinteresserede damer de sidste 50'erne. De to grupper kan jeg sige til.
00:08:54 - 00:08:57  |    Hvad var spørgsmålet? Om jeg har et råd til dem?
00:09:00 - 00:09:04  |    Hvad synes du har en læring på dit eget liv som er vigtigt at give videre?
00:09:04 - 00:09:24  |    Jeg kan huske en gang som meget ung mand at jeg tænkte sådan i alene stunder før jeg skulle sove på vej på cykel ind fra en forstade til Aarhus der hedder Tilst.
00:09:25 - 00:09:29  |    Hvor jeg startede med at flytte hen før jeg kunne fandt sted inde i Aarhus og bo der jeg skulle flytte til Aarhus og studere.
00:09:29 - 00:09:39  |    Der havde jeg sådan et mantra nogle gange der hedder jeg ikke bruger for nogen. Jeg kan alt selv. Jeg kan fra A til S selv. Jeg er ikke brug for nogen.
00:09:40 - 00:09:50  |    Jeg skal nok vise at jeg selv kan. Det synes jeg er 180 grader modsat. Altså sådan er livet. Det kan ikke være mere forkert.
00:09:50 - 00:10:00  |    Jeg har brug for nogen. Men jeg er heller ikke bange for at sige jeg kan godt blive at være en der går forrest og leder.
00:10:01 - 00:10:16  |    Men jeg har brug for et hold. Alle har brug for et hold. Det kunne også være en undertitel. Simon Kvam. Alle har brug for et hold.
00:10:16 - 00:10:24  |    Det føles næsten et guru-rigtigt at være sådan jeg har brug for nogen. Gå selv Simon.
00:10:24 - 00:10:48  |    Der er jo ikke nogen tvivl om at i guru, og den figur jeg spiller i guru Anders Mertz, er jo en fremkaldelse af de mest irriterende sider ved mig selv.
00:10:48 - 00:11:02  |    Og så vil jeg da håbe pustet op. Der er nogle af de ting han gør jeg selv vil gøre.
00:11:02 - 00:11:21  |    Men der er klart nogle træk og en grøft, hvor man dels bliver meget kontrolleret og bange for at blive forbigået.
00:11:22 - 00:11:24  |    Og alle sådan nogle sorte følelser, som jeg selv rummer.
00:11:25 - 00:11:29  |    Er det næsten top publicet at få lov til at udspille den sådan helt spændende ram?
00:11:29 - 00:11:36  |    Det er enormt therapeutisk at få lov til at få luft fra det.
00:11:37 - 00:11:42  |    Det er ligesom den der øvelse med psykologen, hvis nogen har prøvet den, hvor man sætter en stol ved siden af sig selv.
00:11:43 - 00:11:47  |    Og så skifter man stol alt efter hvad for en del af en selv man repræsenterer.
00:11:48 - 00:11:51  |    Så på den måde er det jo bare gjort på fjernsynet.
00:11:51 - 00:12:03  |    Og nu vil jeg gerne snakke lidt generelt bare om hugworm. Og måske vil du starte med at fortælle hvem hugwormet står af.
00:12:04 - 00:12:12  |    Hugworm er en trio, på en måde et band, på en måde en producerenhed.
00:12:13 - 00:12:18  |    Der består af Arnie Bergman, som bor i Klint Møller i Ty.
00:12:18 - 00:12:24  |    Morten Gorm, som bor i Svendborg. Og jeg, som bor i Hovedstadsområdet.
00:12:25 - 00:12:32  |    Vi mødtes i Klint Møller for 5-6 år siden, og begyndte at leje lidt med at lave noget musik.
00:12:33 - 00:12:37  |    Sende nogle ting rundt mellem hinandens computer og stå hjemme i Arnie's garage.
00:12:38 - 00:12:44  |    Jeg larmede lidt som sådan et forpulet suburbia amerikaner, forestads teenage band.
00:12:44 - 00:12:54  |    Og efter et par år blev det så sjovt, og kunstnerisk inspirerende for mig.
00:12:55 - 00:13:02  |    At jeg tænkte, nu rykker jeg sgu det her inde på midten, og nu er det mit hovedkøretøj, som ren musikalsk.
00:13:03 - 00:13:10  |    Og vil du prøve at fortælle, hvilke tanker der ligger bag hugworm?
00:13:10 - 00:13:24  |    Tankerne der ligger bag hugworm som projekter, som baner, som univers, handler om frihed.
00:13:24 - 00:13:40  |    Og det at eksperimentere, det at leje, det at være fysisk, ikke mindst, altså sanselighed, danse, komme af med energi.
00:13:41 - 00:13:47  |    Og så ligesom finde ud af, hvordan kan man gøre det, som nogen der er midt i 40'erne.
00:13:47 - 00:13:57  |    Altså kan man lave musik, der er sanselig, som er fysisk, som er legende, som er sjov, humør og sådan en vigtig del af det.
00:13:58 - 00:14:01  |    Kan man det, når man er op i midt i livet?
00:14:02 - 00:14:07  |    Kan det lade sig gøre, som musiker, ikke at sætte sig på barstolen med den akustiske gitarre og blive trubadur?
00:14:08 - 00:14:13  |    Det er for mig en mening med at lave hugworm.
00:14:13 - 00:14:16  |    Synes du, at I lykkedes med det?
00:14:17 - 00:14:24  |    Jeg synes, at vi lykkedes godt med det. Vi laver jo alle mulige ting, alle mulige typer af sange, som kommer ud i hjørnerne.
00:14:25 - 00:14:39  |    Og nogen kommer ud i et hjørne, som er mere irrelevant for andre måske, for det andet mindre fungerende eller mindre spændende end andre hjørner.
00:14:39 - 00:14:46  |    Der er jo sådan, at vi har lavet sange, hvor man så tænker, at det er fedt at lave sådan en sang, hvor jeg reciterer noget fra en norsk bog.
00:14:47 - 00:14:51  |    Men der er nok ikke flere af den slags sange, der nødvendigt er blevet lavet.
00:14:52 - 00:14:57  |    Og andre hjørner, vi kommer ud i, kan man mærke, at det var spændende, at der er mere at komme efter.
00:14:57 - 00:15:09  |    Så jeg synes, at hugworm repræsenterer lige præcis det, som jeg som afsender gerne ville have, nemlig sådan et frirum, hvor man kan lege, hvor man kan eksperimentere.
00:15:10 - 00:15:18  |    Hvor jeg ikke er sat ind i en bog, som ham, der altid står der og gør sådan her på orange scenen.
00:15:19 - 00:15:25  |    Nu er jeg så begyndt at gøre rigtig meget sådan her i hugworm. Det er jo bare fordi, jeg kan godt lide at gøre det.
00:15:25 - 00:15:39  |    Så det kan det også rumme. Men det er for mig et frirum, og jeg har også en klippefast tro på, at det har en relevans for nogen ude i den anden ende.
00:15:40 - 00:15:46  |    Det kan jeg jo se i forhold til, hvor mange, der kommer til koncerterne, og hvordan det ligesom vokser og vokser.
00:15:46 - 00:15:57  |    Og det kan være, at jeg skal vende lidt tilbage til det senere, men du sagde det her med ikke at blive sat i bog, som ham, der står der. Går du meget op i ikke at blive sat i bog?
00:16:01 - 00:16:13  |    Jeg tror egentlig, at man igennem et otte-tio timers campiforlel godt kunne finde frem til, at jeg går op i ikke at blive sat i bog.
00:16:13 - 00:16:25  |    Jeg er ikke så bevidst om det selv, men jeg kan jo kigge på mit liv bagudrettet og se, hvordan jeg har ageret i mit professionelle virke.
00:16:25 - 00:16:45  |    Og der må jeg jo konstatere, at jeg tit er gået væk fra noget, når det ligesom er blevet meget udbredt og etableret, sagt på en anden måde, når jeg begynder at blive sat i bog.
00:16:45 - 00:16:54  |    Jeg ved ikke om det. Jeg føler ikke, at det er fordi, jeg har trang til at vise, at jeg også kan det.
00:16:55 - 00:17:01  |    Det kan godt være, at der er noget af det i det, men jeg har egentlig mere end for dem sagt, fordi jeg selv begynder at kede mig.
00:17:02 - 00:17:12  |    Det der med at køre på autopilot, det er noget, jeg er nødt til at gøre i biler.
00:17:12 - 00:17:23  |    I stedet for at kede dig, vil du hellere starte noget nyt, som måske også kan være lidt mere usikker for ikke at køre på autopilot?
00:17:23 - 00:17:41  |    Ja, jeg vil helt klart hellere starte noget nyt og så tage de bum på vejen, der måtte være, og de usikkerheder, der måtte være, og de døre i hovedet, der må være, end at køre på autopilot.
00:17:53 - 00:18:17  |    Så bliver det, at jeg kunne forstå, at HKOM startede sådan noget stille roligt 2017, men samtidig var der også noget comeback tour med en ny gang.
00:18:17 - 00:18:33  |    Så derfor ville jeg bare høre, hvorfor du hellere ville forfølge HKOM, end for eksempel, du kunne nok godt have fortsat med NetFuel, hvorfor ville du hellere forfølge den her garage-bans-ting i stedet for?
00:18:33 - 00:18:58  |    Vi lavede jo en comeback-turné og et medfølgende album med NetFuel omkring 18 år, og det gav et god uddannelse, og det var en god uddannelse.
00:18:58 - 00:19:15  |    Det gav en god mening i sig selv at vække NetFuel til live og tage rundt og spille på de her arenager, og vi var på Orange igen, og sådan nogle ting.
00:19:15 - 00:19:32  |    Det er et sted, vi har trivet, så jeg synes, vi fik lavet nogle gode shows, men jeg synes ikke, at det at lave ny musik i NetFuel var naturligt.
00:19:32 - 00:19:51  |    Det er jo et band, der eksisterede i over 20 år, og er startet et sted i nogle menneskers liv, med en bestemt måde at mødes på, og en bestemt måde at lave musik på, og det synes jeg, vi er vokset væk fra.
00:19:51 - 00:20:02  |    Jeg ved ikke, om vi er vokset væk fra hinanden, men den måde at gå til det og skabe musik på, synes jeg ikke passer til der, hvor vi, og i hvert fald ikke jeg selv, er i livet.
00:20:03 - 00:20:15  |    Det er det, der gør, at H.O.M. er rykket ind på midten, fordi det er en anden måde, en anden tilgang til det at skabe musik, som passer godt til at være der, hvor jeg er i livet nu.
00:20:15 - 00:20:30  |    Og så vil jeg gerne gå videre til at snakke lidt om den her produktionsøver, vi har været på. Og det kan godt være, at nogle af ting føles lidt som om, at vi har snakket om det før på den varterovede.
00:20:31 - 00:20:32  |    Ja, jeg tager det bare igen.
00:20:33 - 00:20:38  |    Vil I bare så med høre, hvor meget går du eller de op i, ligesom at være velforberedte?
00:20:38 - 00:20:55  |    Jeg går meget op i at være velforberedt. Jeg går meget op i at have en fornemmelse af, hvad er rammen? Hvad er scenografin? Hvordan kan man bruge den?
00:20:55 - 00:21:13  |    Hvad er lyset? Hvordan er det? Og ikke mindst, hvordan er setlisten? Selve koncertens manuskript, eller den røde tråd? Hvad for sange er det, og hvad for en rækkefølge kommer det i?
00:21:13 - 00:21:25  |    Det går jeg meget op i, og det går jeg meget ned i at rette på og finpuse. Og mere og mere henover ordene, vil jeg faktisk også sige, går jeg op i det.
00:21:26 - 00:21:33  |    Og det tror jeg faktisk handler om at være mest muligt klar til at fuldstændig slippe kontrollen, når man så er på scenen.
00:21:33 - 00:21:49  |    Det handler faktisk ikke om at kontrollere det til mindste detalje, men tvært imod. Og slippe kaos løs, fordi man har så defineret nogle rammer, at man ikke behøver at tænke.
00:21:49 - 00:22:07  |    At jeg ikke behøver at tænke, det er det jeg gerne vil, når jeg går op på scenen til en koncert, det er ligesom ikke at tænke, men kun være der fysisk, være der intuitivt og sanset det hele.
00:22:07 - 00:22:19  |    Og forsøg at gå med hvad der kommer af indfald, til at gøre noget med min krop, til at synge en linje på en eller anden måde, til at sige noget mellem numrene ikke mindst.
00:22:20 - 00:22:29  |    Det er det det hele handler om, det er at forberede sig grundigt til at kunne slippe.
00:22:29 - 00:22:37  |    Og er det noget du synes, det får det til at se ret effortligt ud, når du gør det?
00:22:38 - 00:22:44  |    Er det fordi du også har ødet dig på det, og du har gjort det i mange år, ikke noget der bare lige er opstået?
00:22:44 - 00:23:13  |    Jeg tror den måde at gå til det på, og forberede et show så minutiøst i en produktionsøver, at det der kommer til at virke sådan meget naturligt måske.
00:23:14 - 00:23:24  |    Uanstrengt når man ser os og mig på en scene, det er at der ligger enormt meget forberedelse, både i en produktionsøver og selvfølgelig også i alle de år.
00:23:25 - 00:23:37  |    Jeg selv har spruget rundt på scener, de ligger jo også som sådan en eller anden form for evig finpustning eller øvning.
00:23:37 - 00:23:54  |    Og især når man så har den tilgang som jeg har, at jeg gider ikke kede mig, jeg gider ikke gøre det på autopilot, jeg gider ikke optræde på autopilot, så kommer man rundt i nogle hjørner og prøver nogle ting af.
00:23:54 - 00:24:06  |    Og sikkert også udfra set bliver proteneret.
00:24:07 - 00:24:15  |    Og kan I godt lide at udfordre folks idé om hvad en live-koncert er?
00:24:15 - 00:24:23  |    Det her med at I tager sådan forskellige elementer ind, og i hvert fald nu skal I jo også på tur med Frans Bartel.
00:24:24 - 00:24:32  |    Om det er noget du både synes er inspirerende, men også noget du synes er fedt, det der med at overraske folk i forhold til hvad de forventer af en live-koncert.
00:24:32 - 00:24:50  |    Jeg er jo selv enormt stor fan af dem på musikscenen og i det kunstneriske, der både krydser nogle genrer og bryder nogle grænser i forhold til hvad man forventer.
00:24:50 - 00:25:02  |    Sådan en mand som David Byrne fra Talking Heads, som både i Talking Heads og senere hen har leget med, hvordan kan man overhovedet optræde?
00:25:03 - 00:25:15  |    Hvad er en koncert overhovedet? Jeg synes jeg er enormt inspirerende, og det prøver jeg og det prøver vi på vores måde at lege med, eksperimentere med.
00:25:15 - 00:25:28  |    Bryde en fornemmelse af, at nu står der nogle musikere og afspiller nogle sange som de indspiller på et album på den samme måde som de indspiller dem.
00:25:28 - 00:25:53  |    Men i højere grad lave en eller anden fortælling, og det er jo det jeg selv har prøvet at gøre med den her stemme. Det er en nedpitchet udgave af min egen stemme, som lige pludselig kommer ragn ud af højetaleren og spørger, hvorfor er det, hvad er det du laver?
00:25:53 - 00:26:11  |    Det er ligesom min indre djevl, der kommer og siger alt det, som jeg kunne frygte folk sagde. Det er et af grebene til at prøve at bryde fornemmelsen af det kedelige, der er i at stå og kigge på nogle, der spiller lyd.
00:26:23 - 00:26:40  |    Det kan være, at det her også er et meget ledende spørgsmål, men er det også noget, der gør, at du bliver ved med at synes, at det er sjovt at lave live-koncerter, at du finder på nye måder at spille live på, så du bliver også ved med at gøre det sjovt for dig selv, og spiller sjovt for publikum, fordi de er inspirerede eller har det sjovt på sine.
00:26:40 - 00:27:04  |    Det er jo noget af det, der gør, at jeg selv bliver ved med at gøre det. Altså med at spille koncerter, med at optræde. Det er jo, at jeg bliver ved med at prøve at opfinde nye binspænd eller eksperimenter, og ser det som en eller anden form for undersøgelse.
00:27:04 - 00:27:15  |    Mere end sådan en perfektionering af, at der var den perfekte koncert, så gentager vi den i de næste 10 år. Men prøv at undersøge, hvad hvis man gjorde det her, hvad hvis man gjorde det her.
00:27:15 - 00:27:37  |    Kombinationen af det der nye forskningsarbejde, og samtidig med, at det også er super rutineprægt at spille koncerter, om det så er på ens egen klubtur, eller det er på festivaler.
00:27:37 - 00:27:50  |    Man kommer klokken, det er så der er aftensmad, så går konferencenen på, så spiller infernel over i det store scene, så kommer hk på den lille scene.
00:27:50 - 00:28:06  |    De her faste rutiner er også en del af det, som jeg elsker højt. Så hele det her med at kede sig, det er på ingen måde noget, der handler om rutiner. Det elsker jeg.
00:28:06 - 00:28:22  |    Og jeg elsker også at komme tilbage til nogle steder, jeg har været før, og jeg elsker at kende de forskellige festivaler, og kende de forskellige spillesteder, og faktisk også lige for at kende folk rundt omkring på de steder.
00:28:22 - 00:28:36  |    Så det er sådan en kombination af det, og så det der med at virkelig prøve at træde op med noget, man ikke ved, hvad man har. Det tænder jeg på.
00:28:36 - 00:28:55  |    Det var også fordi, noget af det, som var ret inspirerende, vi havde på der forinterview, var også det, du sagde.
00:28:55 - 00:29:05  |    Jeg har været med på vores forinterview, som jeg synes var ret dejs. Du sigte også, at det her med ikke at jagte det perfekte, eller ikke jagte en succes, men selvgå det her med, hvor man er inspireret.
00:29:06 - 00:29:16  |    Det synes jeg bare var ret fedt, og gik igen i mange af de ting, vi havde lavet. Så det var også noget af det, jeg tænkte på i forhold til det her med, at du gerne blev med at være sjov for dig selv.
00:29:16 - 00:29:25  |    Det var egentlig bare en lille kommentar til det, du sagde. Men nu sagde du også det her med, at det handler også om at have et godt hold og sådan noget.
00:29:26 - 00:29:30  |    Så jeg tænker bare på, hvorfor er Dianne Morten og Arnie gode sammen?
00:29:30 - 00:29:55  |    Ja, hvorfor er vi gode sammen? Jeg synes, vi er rigtig gode sammen. Det er jo derfor, jeg er lidt påvirket af, at Dianne er lidt nede.
00:30:00 - 00:30:22  |    Jeg tror, Arnie, Morten og jeg er gode sammen, fordi vi har på samtidig en eller anden fælles vision, en eller anden fælles fornemmelse af, hvad det er, der er fedt og ikke fedt.
00:30:22 - 00:30:37  |    Det er ikke sådan noget, vi behøver tale så meget om, når den er der, hvis man laver en sang. Der er sådan en fornemmelse af, at der er noget, der er hukkrumsk, og så er der noget, der ikke er.
00:30:37 - 00:30:54  |    Det er ikke forstået på den måde, at det er så fast defineret. Det er denne her slags musik, men det er noget i tonen, i ånden, det er noget at gøre med humor over for alvor, det er noget at gøre med sanslighed og power.
00:30:54 - 00:31:12  |    Den ligger uudtalet mellem os. Det er jo sådan noget, man ikke kan tale sig frem til. Det er jo det, vi fandt ud af ret hurtigt efter at have mødt hinanden i Klidt Møller, at vi har en eller anden form for vibe omkring noget her.
00:31:12 - 00:31:27  |    Det er meget godt udtrykt i hukkums instagram, hvis man skulle være helt konkret, som går om han kører. Den vibe, der er der, for dem, der måtte kende til den, den udtrykker det hele.
00:31:27 - 00:31:44  |    Der er en eller anden form for humor i det, så er der også noget smukt, så er der også noget grimt, så er der også noget voldsomt, så er der også noget sødt. Der er en eller anden form for balancering af nogle ting, som lige præcis smager, som vi godt vil have det til.
00:31:44 - 00:32:06  |    Og så tror jeg også, at vi passer godt sammen, fordi vi står for nogle ting hver især, og vi blander os ikke hinandens. På mange måder er vi lige, på andre måder er vi ikke lige.
00:32:06 - 00:32:17  |    Det er ikke et flat demokrati i hukkuben. Der er alle mulige ting, som jeg kalder og siger, at vi skal gå den vej, så gør vi det.
00:32:18 - 00:32:31  |    Fordi jeg kommer fra at være lidt længere end de andre, og kommer fra en anden position i branchen, det er meget naturligt, og det er ikke en diskussion, vi sidder og har. Det er bare defineret sådan.
00:32:31 - 00:32:42  |    Og så er der ting, som Arne gør på den produktionelle lyddesign, beat, front, som jeg ikke blander mig unødig i.
00:32:42 - 00:33:01  |    Og der er alt muligt, at Morten Gorm gør i forhold til dels hans guitarspil, og han står for strangende i musikalisk forstand, men så kører han også alt visuelt. Og Instagramen, hvor han kører vores merchandise, det blander jeg mig heller ikke særlig meget i.
00:33:01 - 00:33:14  |    Det der med at have nogle ansvarsområder, det fungerer bare pissegodt.
00:33:14 - 00:33:40  |    Det er lidt det, ikke? Du har jo lidt svaret på det, at det er bare for at få det kort og clean, men vil du prøve at fortælle, hvor vigtigt det er for dig, at du har det sjovt eller føler dig ikke på det her taget, men det du arbejder med?
00:33:40 - 00:33:59  |    Det er meget vigtigt for mig, at jeg føler mig inspireret med det, jeg arbejder med.
00:33:59 - 00:34:10  |    At jeg har det sjovt med det. Ikke forstået på den måde, jeg sidder og klasker mig på lården og grine, men på den måde, at jeg glæder mig til det. Jeg skal fandme kunne glæde mig til det, der skal ske.
00:34:10 - 00:34:32  |    Nogle gange må jeg også godt kunne være nervøs for det, for det er en anden måde at glæde sig til noget. Den måde, jeg fungerer på, er, at jeg er god til at være i nuet, hvis jeg ved, at lige om lidt skal det være sjovt.
00:34:32 - 00:34:47  |    Nu går vi way back. Jeg vil gerne høre, om musik altid har betydet, at du er en teenage boy?
00:34:47 - 00:35:12  |    Ja. Musik har altid betydet meget for mig. Også selvom jeg ikke har lyttet til musik væk til væk, jeg er ikke en af dem, som bare hele tiden har musik i hjørnet.
00:35:12 - 00:35:21  |    Sådan som nogen har. Det har jeg aldrig haft. Men jeg har altid haft det i kroppen, hvis man kan sige det sådan. Jeg begyndte at spille klavier, da jeg var 6-7 år.
00:35:21 - 00:35:42  |    Jeg skulle gå til klavier i 6 år, for en eller anden grund. Så måtte jeg selv blive stemt bagefter, men jeg ville fortsætte. Og det har jeg gør, da jeg har fået en form for grundforståelse af det musikalske.
00:35:42 - 00:35:56  |    Jeg tror egentlig, at det lige så meget har haft at gøre med, at der er blevet lyttet meget til musik hjemme i mit barndomshjem. Beatles står overalt.
00:35:57 - 00:36:08  |    Så er der en masse andre musikting og danske ting, som er blevet lyttet til. Men jeg tror godt, at man kan sige, at Beatles er definerende for det hele, hvad musik overhovedet går ud på.
00:36:08 - 00:36:22  |    Det har sat sig i mig på en måde, som jeg tror er helt inde i kernen. Og også på den måde.
00:36:22 - 00:36:37  |    Jeg tror, at musik er så indlært i mit system, at jeg langt om i mit liv ikke har tænkt, at det var noget, jeg skulle beskæfte mig med som levevejn.
00:36:37 - 00:36:58  |    Fordi det udfylder et rum, som er grundfastet med mad. Jeg spiser mad hver dag, men derfor har jeg ikke tænkt, at jeg skulle være kok.
00:36:58 - 00:37:13  |    Det har ikke faldet mig ind, at jeg skulle beskæfte mig med det, før jeg kom på højskole. Hvor jeg godt kunne mærke, at der er noget rigtigt her.
00:37:13 - 00:37:28  |    Og så vidt jeg kunne læse mig frem i min research, så var det også den side, du gemte væk, så du var måske lidt opdelt i, da Simon der sad derhjemme og spillede klavier, og så Simon der kørte knæ.
00:37:28 - 00:37:43  |    Vil du prøve at fortælle det med, at du er lidt dilt op i to og buk for?
00:37:58 - 00:38:22  |    Jeg ved ikke, hvad der er hørt eller ikke.
00:38:22 - 00:38:35  |    Faktum er i hvert fald, at jeg altid har følt mig ret todelt, og i nogen grad også gjort det til at virke at være det.
00:38:35 - 00:38:51  |    At være det en, der både er musiker og komiker, og at have sådan en form for dualism af gang. Det var i min barndomme ungdom.
00:38:51 - 00:39:07  |    Jeg har en dør der, skal jeg gå ind og kigge på den? Jeg ved som en borgermaskine, jeg kan ikke høre præcis hvad jeg har for en eller mærket.
00:39:07 - 00:39:24  |    Det var ret fedt. Det var ret spændende ved, at du er startet ud af to deler, og det har du også været igennem i karrieren.
00:39:24 - 00:39:39  |    Det har vi snakket om med HKOM og GUE. De to sidder måske mere smentet sammen i efterhånden. Det var fedt, at du sagde, at du følte dig todelt.
00:39:39 - 00:40:00  |    Jeg tror egentlig altid jeg har følt mig lidt todelt. Jeg ved ikke om man kan sige splittet, for der er ikke nogen konflikt.
00:40:00 - 00:40:16  |    Jeg tror bare jeg har en fornemmelse af at have to ben, som jeg går på. I mit virke er det musikken, komikken eller skuespillet.
00:40:16 - 00:40:40  |    Der er en form for dualisme i den måde jeg udkommer på. Måske kommer det tilbage til at vokse op i noget, der var både en kulturradikal.
00:40:40 - 00:40:51  |    Det var en hjemmesituation, hvor jeg skulle gå ud til klaværet og spille det og skrive sange fra ret tidligt.
00:40:51 - 00:41:14  |    Helt fra 7-8 års alderen, tror jeg, jeg begyndte at skrive nogle tekster ned og nogle små akkordrunde gange. Når jeg var sammen med mine venner, så var det sådan nogle knallert guys, som gik til halvbald og drak bajer og røg smøger.
00:41:14 - 00:41:35  |    Jeg havde kærs nok kasse strithår med lidt langt her foran. En helt anden vibe. På en måde var der en konflikt mellem, hvem var jeg så. Det kunne jeg godt føle en splittelse på en ikke så sund måde.
00:41:35 - 00:41:45  |    På samme tid var der også noget ved begge dele, jeg godt kunne lide. Og som jeg tror, jeg siden har trukket på rigtig meget.
00:41:45 - 00:42:09  |    Det at være sådan en læsehest, der er på besøg i knallert klub, og en knallert bølle, der er på besøg på biblioteket. Altid at være lidt på udebane, det tror jeg egentlig, og lidt på hjemmebane. Det tror jeg definerer meget godt, hvordan jeg har det.
