00:00:00 - 00:00:00  |    Pfff
00:10:20 - 00:10:25  |    Jeg siger stand-up for første gang
00:10:25 - 00:10:27  |    Kan I se her?
00:10:27 - 00:10:29  |    Jeg er gået ind... nej, det kan I ikke finde ud af det her
00:10:29 - 00:10:31  |    Det kan I mærke allerede nu
00:10:31 - 00:10:33  |    Det er første gang, jeg siger stand-up
00:10:33 - 00:10:35  |    Ja, det kan godt være
00:10:35 - 00:10:39  |    Jamen første gang, jeg siger stand-up, det er på et sted, der hedder Deens
00:10:39 - 00:10:44  |    Og jeg kommer ind, og jeg ved ikke rigtig, hvad det er, jeg går ind til
00:10:44 - 00:10:47  |    Jeg har aldrig set stand-up før
00:10:47 - 00:10:51  |    Og jeg går op i barnet og bestiller en øl
00:10:51 - 00:10:57  |    Og så stiller jeg mig ned bagved
00:10:57 - 00:10:59  |    Man kan godt se, at folk sidder på række af ting
00:10:59 - 00:11:01  |    Nå, det er sådan noget...
00:11:01 - 00:11:05  |    Tater og ting
00:11:05 - 00:11:08  |    Jeg var godt klar over, at det skulle være sjovt og sådan noget
00:11:08 - 00:11:10  |    Men du ved, jeg kom og forfaldte sig
00:11:10 - 00:11:13  |    Det eneste, jeg havde set, der var sjovt, det var revy
00:11:13 - 00:11:16  |    Og når jeg siger revy, nu går et helt andet sted hen med det spørgsmål
00:11:16 - 00:11:18  |    Det kan jeg godt mærke
00:11:18 - 00:11:22  |    Så...
00:11:22 - 00:11:25  |    Jeg kan bare huske, at jeg bliver fuldstændig...
00:11:25 - 00:11:27  |    Altså...
00:11:27 - 00:11:31  |    Jeg får bare en oplevelsesmæssig hold for, da jeg siger stand-up for første gang
00:11:31 - 00:11:34  |    Fordi...
00:11:34 - 00:11:36  |    Det er uligt noget andet, jeg har set
00:11:36 - 00:11:38  |    Det er jo bare et menneske, der stiller sig op på en scene
00:11:38 - 00:11:42  |    Og...
00:11:42 - 00:11:45  |    Vinder publikum med sine ord og sin fortælling
00:11:45 - 00:11:47  |    Der er ikke nogen kostymer, der er ikke noget musik
00:11:47 - 00:11:49  |    Der er ikke nogen, der har skrevet teksten
00:11:49 - 00:11:53  |    For den, der står på scenen
00:11:53 - 00:11:54  |    Det er bare så ren...
00:11:54 - 00:11:55  |    Jeg kan bare huske, jeg var bare sådan...
00:11:55 - 00:11:58  |    What?
00:11:58 - 00:12:00  |    Hvor er det fantastisk?
00:12:00 - 00:12:03  |    Det var det fedeste, jeg nogensinde har set
00:12:03 - 00:12:06  |    Og jeg bare huskede... Jeg tænkte... Det der...
00:12:06 - 00:12:09  |    Det skal jeg
00:12:09 - 00:12:15  |    Indtil da havde jeg tænkt mig, at jeg måske skulle prøve at se, om jeg kunne blive skuespiller
00:12:15 - 00:12:18  |    Men det her, det var bare...
00:12:18 - 00:12:20  |    Altså en game changer
00:12:20 - 00:12:22  |    Og...
00:12:22 - 00:12:24  |    Du har jo... Altså...
00:12:24 - 00:12:27  |    Du siger selv det her med at bygge repræencer, hvis man må gøre hy
00:12:27 - 00:12:29  |    Men du prøver at fortælle, hvad det er, du ligesom er vokset op med
00:12:29 - 00:12:33  |    Får du lige snart det samme? Var det sådan noget... Lige tre...
00:12:33 - 00:12:35  |    Jeg ved ikke, om det var en vanslerrevy eller om det var...
00:12:35 - 00:12:37  |    Tjekke nu, det er sådan noget...
00:12:37 - 00:12:40  |    Ja
00:12:40 - 00:12:42  |    Jeg troede, jeg skulle være skuespiller
00:12:42 - 00:12:45  |    Når jeg siger skuespiller, så var det, fordi jeg troede, at...
00:12:45 - 00:12:49  |    At jeg måske kunne være så heldig at være...
00:12:49 - 00:12:51  |    Nu kommer jeg nok tilbage igen, kære han
00:12:51 - 00:12:54  |    Er det ikke en dobbeltør?
00:12:54 - 00:12:57  |    Jo, det kan godt være, at der er en dobbeltsluse der
00:12:57 - 00:13:00  |    Ja
00:13:00 - 00:13:02  |    Kan du huske, hvem du optager?
00:13:02 - 00:13:04  |    Ja
00:13:04 - 00:13:07  |    Så er det ved at komme hjem til mig med...
00:13:07 - 00:13:09  |    Ja
00:13:09 - 00:13:11  |    Så er det ved at komme hjem til mig med...
00:13:11 - 00:13:13  |    Ja
00:13:13 - 00:13:15  |    Så er det ved at komme hjem til mig med...
00:13:15 - 00:13:17  |    Ja
00:13:17 - 00:13:19  |    Så er det ved at komme hjem til mig med...
00:13:19 - 00:13:21  |    Med det, fru Benes, ja
00:13:25 - 00:13:28  |    Jeg vidste ikke, at jeg skulle tænke på, at de havde noget standart
00:13:28 - 00:13:30  |    Jo, ja
00:13:30 - 00:13:32  |    Hammerskården der
00:13:35 - 00:13:38  |    Pludselig, at de havde deres dobbeltæg for Ostater
00:13:39 - 00:13:43  |    Jeg kender ham først fra min yndlingshupe, jeg var da præsident med dem
00:13:43 - 00:13:44  |    Ah
00:13:44 - 00:13:46  |    Han var også med i rejlret
00:13:46 - 00:13:48  |    Og rejseholdet
00:13:50 - 00:13:54  |    Men der havde de været store på DR's transit lang tid før
00:13:55 - 00:13:57  |    Det var sammen med Gordon?
00:13:57 - 00:13:59  |    Det var sammen med Gordon, ja
00:13:59 - 00:14:01  |    Og det har du faktisk ikke set?
00:14:01 - 00:14:02  |    Nej
00:14:02 - 00:14:03  |    Yes
00:14:03 - 00:14:08  |    Vil du fortælle, hvad din remerancer var i forhold til guldstøtten?
00:14:10 - 00:14:14  |    Det eneste theater, jeg havde set indtil da, hvis det overhovedet var et theater
00:14:14 - 00:14:17  |    For jeg havde aldrig været på Nykøben Falster Theater
00:14:20 - 00:14:22  |    Jeg starter lige
00:14:22 - 00:14:28  |    Det eneste theater, jeg havde set indtil da, det var jo, når der var skoletater på skolen
00:14:29 - 00:14:32  |    Jeg har aldrig været inde på et rigtigt theater på det tidspunkt
00:14:32 - 00:14:39  |    Så skete der nogle gange det, at Nykøb med F-revyen, de tog nogle enkelte elementer ud fra deres revy
00:14:39 - 00:14:43  |    Og så viste de det nede på Amfisen, nede på Hovedbiblioteket
00:14:43 - 00:14:46  |    Det var i bund og grund det, jeg havde set af teater
00:14:46 - 00:14:51  |    Og det var jo, hvad kan man sige, morskabstater eller ikke lette inden
00:14:51 - 00:14:59  |    Så når jeg sagde, jeg ville være skuespiller, så var det, fordi jeg jo gerne ville være skuespiller, hvad kan man sige, i den sjove enderspektre
00:14:59 - 00:15:05  |    Og der må man bare sige, at stand-up, det lagde en drøm fuldstændig i graven
00:15:05 - 00:15:07  |    Lige til at starte med i hvert fald
00:15:07 - 00:15:12  |    Fordi da jeg så stand-up, der var det bare det
00:15:12 - 00:15:21  |    Før du lærte stand-up at kende, hvad var din referencer i forhold til komik? Hvad var sjovt?
00:15:21 - 00:15:30  |    Min referencer i forhold til komik, før jeg havde set stand-up, det var jo, at jeg havde set Line 3 i fjernsynet
00:15:30 - 00:15:43  |    Min forælder havde nogle gramofonplader med udplugt fra revyre, jeg tror det hed Brockkassen, kørte også noget på Danmarks Radio
00:15:43 - 00:15:51  |    Og så boedevede vi ned på Falster, hvor der var tysk fjernsyn
00:15:51 - 00:15:58  |    Og der så jeg Charlie Chaplin og Buster Keaton og Gørgokke, standard lore
00:15:58 - 00:16:14  |    Så jeg var primært for at stå op på stumpfilm, og så skuespiller, der lavede sjov ting
00:16:14 - 00:16:22  |    Vil du forklare, hvad Deans var for et sted til dem, som måske ikke ved, hvad Deans var?
00:16:22 - 00:16:30  |    Deans var et sted inde i København, hvor man havde lavet en scene, hvor man stillede den til rådighed
00:16:30 - 00:16:37  |    Jeg tror det var mandag og ulster til stand-up, udover det så var der også en musikscene, men mandag og ulster der var der stand-up
00:16:37 - 00:16:54  |    Det blev samtidig også et sted, som var en anden form for et community, hvor man fik et sammenhold og et sted at være
00:16:54 - 00:17:08  |    Hvor man kunne udvikle sig sammen med de andre, som var i gang med at afsøge kunstformen, som på en eller anden måde var ret ny i Danmark stadig
00:17:08 - 00:17:31  |    De mange første år var et efterskoleophold, hvor man var en lille osteklokke, glasklokke, og man var ikke rigtig til stede udover, når man var på Deans
00:17:31 - 00:17:38  |    Du ved, man kan ikke måske påstille og sidde bag kassen i Netto, men det var bare sådan et autonom, du var ikke rigtig, du var der bare
00:17:38 - 00:17:44  |    og scannede varer eller smedte et brøv ind, og så lidede du først op og var til stede, når du var på Deans
00:17:44 - 00:17:49  |    Så det var sådan et, det var bare det, at det var
00:17:49 - 00:18:05  |    Og vil du måske prøve at fortælle, at mange af dem, som også er store i dag, som Frank Barber kan forplaste, varer også alle sammen på Deans, dengang
00:18:05 - 00:18:09  |    Jeg skal lige forstå spørgsmålet
00:18:09 - 00:18:14  |    Ja, det er bare fordi, at det får ligesom at sætte ind dem, som ikke kender Deans stående
00:18:14 - 00:18:19  |    Ja, okay, nu forstår jeg, yes, yes
00:18:19 - 00:18:32  |    Deans, det var det sted, hvor alle ligesom kom for at blive udklikket, det var jo der, Frank Wamp startede
00:18:32 - 00:18:53  |    Jamen Jensen, Anders Maddelsen, så nej, det var jo bare der, det var jo ligesom arnetsted for den her kunstform, som så blusede op i fuld flor lidt senere
00:18:53 - 00:18:58  |    Så det var stedet
00:18:58 - 00:19:09  |    Og hvis vi lige går tilbage til din første ophævelse med standard, vil du fortælle, hvem det var, du så optræde den første gang, som jeg var der?
00:19:09 - 00:19:20  |    Jeg står inde på Deans, jeg har fået en øl, og så går Tim Vladimir på, som var vært den aften
00:19:20 - 00:19:29  |    Og han får folk til at grine efter, at den ramte på anden linje eller sådan noget, det gik så stærkt
00:19:29 - 00:19:43  |    Og så præsenterer han et æsle, det hedder, når man er helt nystartet komiker, og jeg kan ikke huske, hvem det var, men bare husk, det gik ikke særlig godt
00:19:43 - 00:19:55  |    Og jeg tænkte, okay, jeg tager det sammen, og så kom Mette Frobenius på, og til sidst så kom Amine Jensen på
00:19:55 - 00:20:08  |    Og det var bare mind-blowing, det der med, at de her mennesker, de bare stod og underholdt, uden at gemme sig bag noget
00:20:08 - 00:20:16  |    Hvordan, nu tænker jeg, hvis du vokser op med anadu og linje 3 og sådan noget, det er jo meget, nogen der har en guitar og spiller noget musik eller udkvædning
00:20:16 - 00:20:20  |    Hvordan var det at se noget, som var så fart i sig selv?
00:20:20 - 00:20:24  |    Jeg synes, jeg har svarer på den her, altså jeg hører det overhovedet ikke efter
00:20:24 - 00:20:27  |    Jeg kommer til at sætte nogle interne førstående flere gange
00:20:27 - 00:20:31  |    Jamen men altså
00:20:31 - 00:20:33  |    Kan vi få et lyse ret lækkert ind?
00:20:33 - 00:20:39  |    Det tænker jeg
00:20:39 - 00:20:49  |    Alt hvad jeg havde set ind til dat, det var jo linje 3 og revy, skuespillere
00:20:49 - 00:21:07  |    Folk, der trodde i karakter, gik ind i en rolle eller havde forinstuderet, hvorimod stand-upen, det var lige nu og her
00:21:07 - 00:21:14  |    Et menneske, der er sig selv, i hvert fald det er det, man får folk til at tro
00:21:14 - 00:21:22  |    Men det var bare så rent, og det var også på en eller anden måde lidt uprætensiøst
00:21:22 - 00:21:26  |    Det tror jeg også godt, jeg kunne lide ved det
00:21:26 - 00:21:34  |    Det er bare den reneste kunstform, hvor jeg næsten vil sige, du overhovedet kan opsøge, og også den mest grøblig
00:21:34 - 00:21:43  |    Efter du havde set det her til første stand-up-show, hvad tænker du så, og hvad gør du sådan tilbage til?
00:21:43 - 00:21:49  |    Da jeg siger stand-up første gang, så tænker jeg, at det er det, jeg skal
00:21:49 - 00:21:55  |    Jeg tænker det i nuet og tager faktisk fat i Tim Blattemir, lige efter jeg har set dem optræde
00:21:55 - 00:21:58  |    Og siger sådan en helt jubeltoss, jeg vil gerne optræde
00:21:58 - 00:22:02  |    Og han siger okay, fordi han har sikkert mødt mange tosser
00:22:02 - 00:22:06  |    Og så siger han, det er fint nok, du får en tid om 3 uger
00:22:06 - 00:22:09  |    Jeg ved ikke, jeg har regnet med, det var næste mandag, tror jeg
00:22:09 - 00:22:13  |    Men da jeg så først kommer til at tænke lidt over det, er det sgu ret fedt, at jeg egentlig lige har 3 uger
00:22:13 - 00:22:18  |    Til at gå og summe over, hvad i hunes det er, jeg skal snakke om
00:22:18 - 00:22:26  |    Jeg kan også huske, at jeg tænker, om du har 3 uger, hvor lang tid får jeg? Du har 5 minutter
00:22:26 - 00:22:28  |    5 minutter, det er jo ingenting
00:22:28 - 00:22:34  |    Der finder jeg sig ud af, at 5 minutter, det kan godt være rigtig lang tid
00:22:34 - 00:22:43  |    Og så skal du ligesom forberede de her 5 minutter, hvad tager du ligesom udgangspunkt i, når du skal forberede de 5 minutter?
00:22:43 - 00:22:51  |    Jamen altså, som stand-up-komiker, og det ved jeg sgu ikke på det her tidspunkt
00:22:51 - 00:22:58  |    Måske skal den starte med, at jeg går hjem, så de holder den i den, altså som om du lige har stået der
00:22:58 - 00:23:11  |    Ja, jeg går hjem efter, at jeg har fået lov til at få et open mic-spot på Deens
00:23:11 - 00:23:17  |    Og først der, tror jeg, det går op for mig, at jeg skal jo snakke om et eller andet
00:23:17 - 00:23:25  |    Og der kan man sige, at der bare det at se det en gang, var jeg sådan på en eller anden måde godt klar, at jeg skulle snakke om noget, der havde noget med mig at gøre
00:23:25 - 00:23:31  |    Og jeg var jo nærmest næsten lige derfra at komme fra Falster
00:23:31 - 00:23:40  |    Og der var bare de her typer nede på Falster i deres Olden Mantager og Fort Capri, som godt kunne lide
00:23:40 - 00:23:45  |    Og ligesom var dem, der kom først over krydset, når det gik fra rødt til gul og grønt
00:23:45 - 00:23:53  |    Så min første bid handlede om bilbriander
00:23:53 - 00:24:03  |    Og så handlede det også lidt om at sidde i kassen i net
00:24:03 - 00:24:08  |    Fordi det var det, jeg ligesom anaderen var med der
00:24:08 - 00:24:16  |    Så det var sådan en udgangspunkt, det jeg ville snakke om
00:24:16 - 00:24:23  |    Ja, det var der
00:24:23 - 00:24:29  |    Men det er fordi jeg lige bryder den op i to, så har du noget at klippe i
00:24:29 - 00:24:36  |    Så kommer jeg så til dagen, hvor jeg skal optræde med mit fine materiale om bilbriander og det at sidde på kassen i netto
00:24:36 - 00:24:41  |    Og så læser jeg en artikel i BT, som jeg også synes har noget sjovt i sig
00:24:41 - 00:24:49  |    Og der kan man sige, det var jo ungdomens kodhed og mangel på erfaring, som måske gjorde, at jeg synes, jeg kunne det hele
00:24:49 - 00:24:56  |    Så jeg tager den her avisartikel med på scenen
00:24:56 - 00:25:01  |    Og vil ligesom åbne på den, fordi jeg tænker, hey det er aktuelt, wow
00:25:01 - 00:25:06  |    Så tænker folk, han kan bare være sjov, instantly
00:25:06 - 00:25:13  |    Og jeg er så nervøs, altså jeg er sindssygt nervøs
00:25:13 - 00:25:21  |    Og det er ikke noget, der kommer den her nervøsitet, fordi jeg havde faktisk været ved at tage fat i timilæret mere et par gange
00:25:21 - 00:25:28  |    Jeg dropper det, men af uvisse år så jeg for at holde skruen i vandet
00:25:28 - 00:25:36  |    Og jeg tror faktisk, det er Amin Jensen, der præsenterer mig det her timilæret mere
00:25:36 - 00:25:42  |    Men jeg kan bare huske, at Amin Jensen præsenterer mig, jeg hører mit navn
00:25:42 - 00:25:48  |    Og så går rummet ligesom i slow motion
00:25:48 - 00:25:54  |    Lige før ville jeg sige, at det blør en lille smule fra mine øjne
00:25:54 - 00:26:00  |    Og jeg går nærmest også i slow motion forbi Amin op på scenen
00:26:00 - 00:26:05  |    Og jeg er jo i rummet, men rummet er der sgu ikke rigtigt
00:26:05 - 00:26:11  |    Jeg går så i gang med at tale om det, jeg har læst i BT
00:26:11 - 00:26:15  |    Og det...
00:26:15 - 00:26:20  |    Jamen jeg kunne godt høre noget, så jeg kunne godt fornemme, at folk var der
00:26:20 - 00:26:24  |    Og jeg kunne høre, at det var noget grin, så der var ikke noget grin
00:26:24 - 00:26:29  |    Og jeg tænker, hvad fanden, hvad sker der
00:26:29 - 00:26:34  |    Så er jeg enormt, altså lige før er jeg sådan...
00:26:34 - 00:26:39  |    Jamen jeg er der, jeg er i lokalet, men alligevel er der ikke
00:26:39 - 00:26:48  |    Og så får jeg kigget på min hånd, som holder visene op, fordi jeg skal referere til den her visartikel
00:26:48 - 00:26:54  |    Og så... altså min hånd ryster som S-beløv
